"elementList__propertyCode","elementList__thumbnail","elementList__externalReference","elementList__numPhotos","elementList__floor","elementList__price","elementList__propertyType","elementList__operation","elementList__size","elementList__exterior","elementList__rooms","elementList__bathrooms","elementList__address","elementList__province","elementList__municipality","elementList__district","elementList__country","elementList__latitude","elementList__longitude","elementList__showAddress","elementList__url","elementList__distance","elementList__description","elementList__hasVideo","elementList__status","elementList__newDevelopment","elementList__hasLift","elementList__parkingSpace__hasParkingSpace","elementList__parkingSpace__isParkingSpaceIncludedInPrice","elementList__newDevelopmentFinished","elementList__priceByArea","elementList__detailedType__typology","elementList__detailedType__subTypology","elementList__suggestedTexts__subtitle","elementList__suggestedTexts__title","elementList__hasPlan","elementList__has3DTour","elementList__has360","elementList__hasStaging","elementList__labels__name","elementList__labels__text","elementList__topNewDevelopment","elementList__superTopHighlight","total","totalPages","actualPage","itemsPerPage","numPaginations","summary","alertName","lowerRangePosition","upperRangePosition","paginable"
"98695470","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/ba/94/1020744146.jpg","1725/776","84","","569500.0","chalet","sale","270.0","False","5","4","Calle los pinos","Madrid","Rivas-Vaciamadrid","Rivas Urbanizaciones","es","40.3598675","-3.5328944","False","https://www.idealista.com/inmueble/98695470/","12648","ALFA pone a su disposición este magnífico y espectacular chalet caracterizado por su amplitud, buena distribución y gran luminosidad. Ubicado en una de las zonas más asentadas de RIVAS VACIAMADRID, cerca del centro comercial Santa Mónica, con todos los servicios a su alcance, como Centro de Salud, colegios, guarderías, supermercados, zonas de ocio, polideportivo, etc.  El chalet adosado de 270 m2 dividido en 4 plantas con una parcela de 374 m2  y acceso directo a la zona residencial comunitaria con piscinas y arbolado, pistas de baloncesto, futbol, pádel, tenis y pista de patinaje. En la planta baja tiene un gran hall, desde el que se accede a una moderna cocina totalmente equipada con armarios de gran capacidad y comunicada con el salón por una ventana de cristales correderos opacos. Un salón comedor con dos ambientes muy diferenciados y dos grandes puertas que dan acceso a la zona del jardín, donde se encuentra un espectacular porche cubierto con vigas de madera y cubierta acristalada para no quitar la luz a la estancia, y un jardín con árboles y plantas muy cuidadas que da paso directo a las zonas comunes. Tiene también una habitación-biblioteca con acceso a un trastero y un aseo. Cuenta además con un garaje con capacidad para dos coches. En la segunda planta dispone de 3 amplias habitaciones, todas ellas con armarios empotrados. La habitación principal, con baño en suite, tiene salida a una terraza desde donde se contempla el jardín de la vivienda y la zona de la piscina comunitaria, con sus maravillosos jardines y arboledas. Un baño adicional totalmente equipado, para dar servicio al resto de habitaciones. En la tercera planta o Buhardilla, se encuentra la habitación principal con una zona de salón y a continuación totalmente diáfano, la habitación con el baño completo, con ducha y bañera, integrado. Todo ello muy luminoso con tres grandes “velux”. En la planta baja o sótano, se encuentran dos zonas diferenciadas, una de zona de comedor, zona de juegos, TV, etc. , y otra zona de gimnasio con salida directa al jardín. Cuenta además con un garaje con capacidad para dos coches. ¡No lo dudes, LLAMANOS!","False","good","False","","True","True","","2109.0","chalet","terracedHouse","Rivas Urbanizaciones, Rivas-Vaciamadrid","Chalet adosado en Calle los pinos","True","False","False","False","","","False","False","1168","24","10","50","0","Comprar","Viviendas en distrito El Mirador - Grillero, Arganda","450","500","True"
"98537132","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e9/8e/fb/1015839232.jpg","11564","94","","730000.0","chalet","sale","198.0","False","5","2","Rivas Urbanizaciones","Madrid","Rivas-Vaciamadrid","Rivas Urbanizaciones","es","40.3667527","-3.5456487","False","https://www.idealista.com/inmueble/98537132/","13967","¿Quieres vivir en un exclusivo chalet en Rivas Vaciamadrid, en la selecta zona de la Partija?    Una zona totalmente residencial, en un espectacular chalet independiente de 198 metros construidos y 172 metros útiles, sobre una parcela de 500 metros, toda solada y rodeada de árboles, una bonita piscina privada con total intimidad.     Distribuido en dos plantas más buhardilla.     Un gran salón comedor desde el que verás un precioso porche con vistas a la piscina.     Una amplísima cocina, donde podrás desayunar, comer o cenar con la toda la comodidad con la familia.     Cuenta con cinco habitaciones, dos baños completos (el principal ampliado y reformado), un aseo y varias terrazas.     Una bonita buhardilla para que le puedas dar el uso que tú prefieras.     En la parte delantera y lateral derecha se ha construido un bonito y acogedor porche acristalado para poder disfrutarlo durante todo el año a como otro salón comedor.     Increíble piscina privada (sin vecinos cercanos, máxima privacidad) con un cuidado jardín en el que disfrutar, y buena orientación para una piscina soleada todo el día, al lado de la piscina tiene la barbacoa. Desde la parte trasera de la parcela tienes una puerta de acceso a la calle, al Parque Lineal, en una agradable paseo estarás en la estación de Metro de Rivas Vaciamadrid.     Dispone de un garaje cerrado y la posibilidad de aparcamiento para dos coches más en la parte delantera.     La Partija, es un barrio totalmente consolidado, con servicios muy cercanos, todos tipo de comercios en COVIBAR, atravesando el Parque Lineal, los centros comerciales: Zoco Rivas, Santa Mónica, Rivas Centro, guarderías, colegios, institutos, etc… a escasos metros de la parada de autobús y menos de 5 minutos del metro de Rivas Urbanizaciones, muy cercano de todos los servicios y centros comerciales del municipio.     Muy luminoso, con orientación Este-Oeste.     No lo pienses y ven a conocer la casa con la que siempre habías soñado.    *Certificación Energética: ""D""     *Impuestos y gastos NO INCLUIDOS: ITP o IVA, Notaria, Registro, gestoría, Tasación, etc….     ¡Una excelente oportunidad, no la dejes escapar!     Si te hace falta te realizamos un estudio financiero y te ayudamos a conseguir tu préstamo hipotecario ¡gratuitamente! y por supuesto si necesitas ampliar información ¡Llámanos!","False","good","False","","True","True","","3687.0","chalet","independantHouse","Rivas Urbanizaciones, Rivas-Vaciamadrid","Casa independiente","True","False","True","False","","","False","False","","","","","","Viviendas","","","",""
"98487824","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2b/e3/78/1013976514.jpg","PIS0211","19","2","108000.0","flat","sale","79.0","True","3","1","Calle del Pez","Madrid","Campo Real","","es","40.3394813","-3.3803191","False","https://www.idealista.com/inmueble/98487824/","4523","INMOBILIARIA TAGONIA, vende piso planta 2ª sin ascensor, 3 dormitorios, salón, cocina con terraza  tendero, baño con ducha, trastero. CAMPO REAL a tan solo 40 min del Centro de Madrid, sin duda la zona mas demandada del corredor, rodeada absolutamente de todos los servicios, zona tranquila y con las mejores comodidades. Parques  Infantiles, Centro de Salud, Colegio, Instituto, Bancos. Campo Real es un municipio español de la provincia y Comunidad de Madrid. Cuenta con 6416 habitantes. Tiene una extensión de 61,8 km² y una densidad de población de 100,57 hab. /km². Se encuentra a unos 35 km de la capital. El municipio es famoso por su queso de oveja, su aceite de oliva y sus aceitunas. Wikipedia Elevación: 777 m Superficie: 61,75 km² Tiempo: 26 °C, viento SO a 24 km/h, 34 % de humedad weather. com Población: 6.075 (2018).","True","good","False","False","","","","1367.0","flat","","Campo Real","Piso en Calle del Pez","True","False","False","False","","","False","False","","","","","","distrito El Mirador - Grillero, Arganda","","","",""
"98059041","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/23/91/4d/1013390166.jpg","P4 2ºA","11","2","231000.0","flat","sale","90.0","True","3","2","Calle Estación Vaciamadrid , 2","Madrid","Arganda","Centro","es","40.3049521","-3.449262","True","https://www.idealista.com/obra-nueva/98059041/","3869","Ya esta a la venta Residencial Paris 3. Urbanización cerrada situada en la calle Estación de Vaciamadrid número 2, con 124 viviendas libres, de 1, 2, 3 y 4 dormitorios. Todos con amplias terrazas y espectaculares áticos sin escaleras. Solicite información a nuestros asesores, en urbanización privada con piscina comunitaria y zona infantil, todas ellas con plaza de garaje y trastero incluidos en el precio de venta.  Viviendas con sistema de climatización centralizada para calor y frio, por suelo radiante / refrescante, a través de bomba de calor aerotérmica Saunier-Duval, con sistema de coste individualizado. La ubicación no podría ser mejor, en una de las zonas con mayor expansión del municipio. Con todos los servicios muy próximos: supermercado, ciudad deportiva, farmacia, colegio es institutos y autobús urbano e interurbano y metro a tan solo 1 minuto caminando. *La parte compradora tiene a su disposición en las oficinas centrales toda la documentación prevista en el RD 515/1989. **Los planos, infografías y superficies son orientativos y no suponen carácter contractual, pudiendo sufrir modificaciones durante la realización del proyecto y la ejecución de la obra por razones técnicas, administrativas, jurídicas y/o comerciales. ***Gastos e impuestos no incluidos en el precio de venta.","False","newdevelopment","True","True","True","True","False","2567.0","flat","","Centro, Arganda","Piso en Calle Estación Vaciamadrid , 2","True","False","False","False","","","False","False","","","","","","Todos los precios","","","",""
"97666050","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/06/ea/1d/1013392390.jpg","P8A Bajo A","11","bj","139500.0","flat","sale","46.0","True","1","1","Calle Estación Vaciamadrid , 2","Madrid","Arganda","Centro","es","40.3049521","-3.449262","True","https://www.idealista.com/obra-nueva/97666050/","3869","Ya esta a la venta Residencial Paris 3. Urbanización cerrada situada en la calle Estación de Vaciamadrid número 2, con 124 viviendas libres, de 1, 2, 3 y 4 dormitorios. Todos con amplias terrazas y espectaculares áticos sin escaleras. Solicite información a nuestros asesores, en urbanización privada con piscina comunitaria y zona infantil, todas ellas con plaza de garaje y trastero incluidos en el precio de venta.  Viviendas con sistema de climatización centralizada para calor y frio, por suelo radiante / refrescante, a través de bomba de calor aerotérmica Saunier-Duval, con sistema de coste individualizado. La ubicación no podría ser mejor, en una de las zonas con mayor expansión del municipio. Con todos los servicios muy próximos: supermercado, ciudad deportiva, farmacia, colegio es institutos y autobús urbano e interurbano y metro a tan solo 1 minuto caminando. *La parte compradora tiene a su disposición en las oficinas centrales toda la documentación prevista en el RD 515/1989. **Los planos, infografías y superficies son orientativos y no suponen carácter contractual, pudiendo sufrir modificaciones durante la realización del proyecto y la ejecución de la obra por razones técnicas, administrativas, jurídicas y/o comerciales. ***Gastos e impuestos no incluidos en el precio de venta.","False","newdevelopment","True","True","True","True","False","3033.0","flat","","Centro, Arganda","Piso en Calle Estación Vaciamadrid , 2","True","False","False","False","","","False","False","","","","","","Todos los tamaños","","","",""
"97612325","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cb/48/11/1013389788.jpg","P4 1ºA","11","1","228000.0","flat","sale","90.0","True","3","2","Calle Estación Vaciamadrid , 2","Madrid","Arganda","Centro","es","40.3049521","-3.449262","True","https://www.idealista.com/obra-nueva/97612325/","3869","Ya esta a la venta Residencial Paris 3. Urbanización cerrada situada en la calle Estación de Vaciamadrid número 2, con 124 viviendas libres, de 1, 2, 3 y 4 dormitorios. Todos con amplias terrazas y espectaculares áticos sin escaleras. Solicite información a nuestros asesores, en urbanización privada con piscina comunitaria y zona infantil, todas ellas con plaza de garaje y trastero incluidos en el precio de venta.  Viviendas con sistema de climatización centralizada para calor y frio, por suelo radiante / refrescante, a través de bomba de calor aerotérmica Saunier-Duval, con sistema de coste individualizado. La ubicación no podría ser mejor, en una de las zonas con mayor expansión del municipio. Con todos los servicios muy próximos: supermercado, ciudad deportiva, farmacia, colegio es institutos y autobús urbano e interurbano y metro a tan solo 1 minuto caminando. *La parte compradora tiene a su disposición en las oficinas centrales toda la documentación prevista en el RD 515/1989. **Los planos, infografías y superficies son orientativos y no suponen carácter contractual, pudiendo sufrir modificaciones durante la realización del proyecto y la ejecución de la obra por razones técnicas, administrativas, jurídicas y/o comerciales. ***Gastos e impuestos no incluidos en el precio de venta.","False","newdevelopment","True","True","True","True","False","2533.0","flat","","Centro, Arganda","Piso en Calle Estación Vaciamadrid , 2","True","False","False","False","","","False","False","","","","","","","","","",""
"97612324","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b4/c5/45/1013389100.jpg","P1B 4ºB","11","4","245000.0","flat","sale","95.0","True","3","2","Calle Estación Vaciamadrid , 2","Madrid","Arganda","Centro","es","40.3049521","-3.449262","True","https://www.idealista.com/obra-nueva/97612324/","3869","Ya esta a la venta Residencial Paris 3. Urbanización cerrada situada en la calle Estación de Vaciamadrid número 2, con 124 viviendas libres, de 1, 2, 3 y 4 dormitorios. Todos con amplias terrazas y espectaculares áticos sin escaleras. Solicite información a nuestros asesores, en urbanización privada con piscina comunitaria y zona infantil, todas ellas con plaza de garaje y trastero incluidos en el precio de venta.  Viviendas con sistema de climatización centralizada para calor y frio, por suelo radiante / refrescante, a través de bomba de calor aerotérmica Saunier-Duval, con sistema de coste individualizado. La ubicación no podría ser mejor, en una de las zonas con mayor expansión del municipio. Con todos los servicios muy próximos: supermercado, ciudad deportiva, farmacia, colegio es institutos y autobús urbano e interurbano y metro a tan solo 1 minuto caminando. *La parte compradora tiene a su disposición en las oficinas centrales toda la documentación prevista en el RD 515/1989. **Los planos, infografías y superficies son orientativos y no suponen carácter contractual, pudiendo sufrir modificaciones durante la realización del proyecto y la ejecución de la obra por razones técnicas, administrativas, jurídicas y/o comerciales. ***Gastos e impuestos no incluidos en el precio de venta.","False","newdevelopment","True","True","True","True","False","2579.0","flat","","Centro, Arganda","Piso en Calle Estación Vaciamadrid , 2","True","False","False","False","","","False","False","","","","","","","","","",""
"97612369","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/62/81/67/1013389202.jpg","P1B 2ºA","11","2","239000.0","flat","sale","95.0","True","3","2","Calle Estación Vaciamadrid , 2","Madrid","Arganda","Centro","es","40.3049521","-3.449262","True","https://www.idealista.com/obra-nueva/97612369/","3869","Ya esta a la venta Residencial Paris 3. Urbanización cerrada situada en la calle Estación de Vaciamadrid número 2, con 124 viviendas libres, de 1, 2, 3 y 4 dormitorios. Todos con amplias terrazas y espectaculares áticos sin escaleras. Solicite información a nuestros asesores, en urbanización privada con piscina comunitaria y zona infantil, todas ellas con plaza de garaje y trastero incluidos en el precio de venta.  Viviendas con sistema de climatización centralizada para calor y frio, por suelo radiante / refrescante, a través de bomba de calor aerotérmica Saunier-Duval, con sistema de coste individualizado. La ubicación no podría ser mejor, en una de las zonas con mayor expansión del municipio. Con todos los servicios muy próximos: supermercado, ciudad deportiva, farmacia, colegio es institutos y autobús urbano e interurbano y metro a tan solo 1 minuto caminando. *La parte compradora tiene a su disposición en las oficinas centrales toda la documentación prevista en el RD 515/1989. **Los planos, infografías y superficies son orientativos y no suponen carácter contractual, pudiendo sufrir modificaciones durante la realización del proyecto y la ejecución de la obra por razones técnicas, administrativas, jurídicas y/o comerciales. ***Gastos e impuestos no incluidos en el precio de venta.","False","newdevelopment","True","True","True","True","False","2516.0","flat","","Centro, Arganda","Piso en Calle Estación Vaciamadrid , 2","True","False","False","False","","","False","False","","","","","","","","","",""
"97612372","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5e/3b/51/1013391923.jpg","P7 5ºB","11","5","250500.0","penthouse","sale","90.0","True","2","2","Calle Estación Vaciamadrid , 2","Madrid","Arganda","Centro","es","40.3049521","-3.449262","True","https://www.idealista.com/obra-nueva/97612372/","3869","Ya esta a la venta Residencial Paris 3. Urbanización cerrada situada en la calle Estación de Vaciamadrid número 2, con 124 viviendas libres, de 1, 2, 3 y 4 dormitorios. Todos con amplias terrazas y espectaculares áticos sin escaleras. Solicite información a nuestros asesores, en urbanización privada con piscina comunitaria y zona infantil, todas ellas con plaza de garaje y trastero incluidos en el precio de venta.  Viviendas con sistema de climatización centralizada para calor y frio, por suelo radiante / refrescante, a través de bomba de calor aerotérmica Saunier-Duval, con sistema de coste individualizado. La ubicación no podría ser mejor, en una de las zonas con mayor expansión del municipio. Con todos los servicios muy próximos: supermercado, ciudad deportiva, farmacia, colegio es institutos y autobús urbano e interurbano y metro a tan solo 1 minuto caminando. *La parte compradora tiene a su disposición en las oficinas centrales toda la documentación prevista en el RD 515/1989. **Los planos, infografías y superficies son orientativos y no suponen carácter contractual, pudiendo sufrir modificaciones durante la realización del proyecto y la ejecución de la obra por razones técnicas, administrativas, jurídicas y/o comerciales. ***Gastos e impuestos no incluidos en el precio de venta.","False","newdevelopment","True","True","True","True","False","2783.0","flat","penthouse","Centro, Arganda","Ático en Calle Estación Vaciamadrid , 2","True","False","False","False","","","False","False","","","","","","","","","",""
"97612364","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f6/3a/bb/1013390706.jpg","P4 4ºA","11","4","237000.0","flat","sale","90.0","True","3","2","Calle Estación Vaciamadrid , 2","Madrid","Arganda","Centro","es","40.3049521","-3.449262","True","https://www.idealista.com/obra-nueva/97612364/","3869","Ya esta a la venta Residencial Paris 3. Urbanización cerrada situada en la calle Estación de Vaciamadrid número 2, con 124 viviendas libres, de 1, 2, 3 y 4 dormitorios. Todos con amplias terrazas y espectaculares áticos sin escaleras. Solicite información a nuestros asesores, en urbanización privada con piscina comunitaria y zona infantil, todas ellas con plaza de garaje y trastero incluidos en el precio de venta.  Viviendas con sistema de climatización centralizada para calor y frio, por suelo radiante / refrescante, a través de bomba de calor aerotérmica Saunier-Duval, con sistema de coste individualizado. La ubicación no podría ser mejor, en una de las zonas con mayor expansión del municipio. Con todos los servicios muy próximos: supermercado, ciudad deportiva, farmacia, colegio es institutos y autobús urbano e interurbano y metro a tan solo 1 minuto caminando. *La parte compradora tiene a su disposición en las oficinas centrales toda la documentación prevista en el RD 515/1989. **Los planos, infografías y superficies son orientativos y no suponen carácter contractual, pudiendo sufrir modificaciones durante la realización del proyecto y la ejecución de la obra por razones técnicas, administrativas, jurídicas y/o comerciales. ***Gastos e impuestos no incluidos en el precio de venta.","False","newdevelopment","True","True","True","True","False","2633.0","flat","","Centro, Arganda","Piso en Calle Estación Vaciamadrid , 2","True","False","False","False","","","False","False","","","","","","","","","",""
