"elementList__propertyCode","elementList__thumbnail","elementList__externalReference","elementList__numPhotos","elementList__floor","elementList__price","elementList__propertyType","elementList__operation","elementList__size","elementList__exterior","elementList__rooms","elementList__bathrooms","elementList__address","elementList__province","elementList__municipality","elementList__district","elementList__country","elementList__latitude","elementList__longitude","elementList__showAddress","elementList__url","elementList__distance","elementList__description","elementList__hasVideo","elementList__status","elementList__newDevelopment","elementList__parkingSpace__hasParkingSpace","elementList__parkingSpace__isParkingSpaceIncludedInPrice","elementList__hasLift","elementList__newDevelopmentFinished","elementList__priceByArea","elementList__detailedType__typology","elementList__detailedType__subTypology","elementList__suggestedTexts__subtitle","elementList__suggestedTexts__title","elementList__hasPlan","elementList__has3DTour","elementList__has360","elementList__hasStaging","elementList__labels__name","elementList__labels__text","elementList__topNewDevelopment","elementList__superTopHighlight","total","totalPages","actualPage","itemsPerPage","numPaginations","summary","alertName","lowerRangePosition","upperRangePosition","paginable"
"99458431","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3e/8f/be/1044626685.jpg","","31","3","163000.0","flat","sale","105.0","True","3","2","joan miro","Madrid","Rivas-Vaciamadrid","Covibar - Pablo Iglesias","es","40.3596781","-3.5537791","False","https://www.idealista.com/inmueble/99458431/","14199","TECNOCASA RIVAS VENDE PISO! TERCERO con muchas posibilidades, 3 dormitorios completamente exterior y muy luminoso, cercano a comercios, paradas de autobús, en la zona de Covibar que consta de los siguientes elementos: Recibidor de entrada con armario empotrado Amplio salón- comedor independiente completamente exterior, con grandes ventanales de 25m2, Cocina con office y tendedero 3 dormitorios con armarios empotrados con bastante amplitud, 2 baños completos con ambos con bañera respectivamente. Suelos de parqué, ventanas de aluminio, puertas de madera de pino, caldera de gas natural estanca. Sobre la ubicación del piso, es inmejorable, paradas de bus, comercios, polideportivo.. . El Acceso a la A-3 es muy rápido, además cercano se encuentra parque infantil así como pistas de baloncesto y futbol sala, así como diversas zonas verdes, magnificas para poder disfrutar del aire libre nen la ciudad. Alrededor del inmueble se encuentran varios supermercados Sobre la zona cuenta con diversas zonas verdes, barrio muy tranquilo y familiar! MEJOR VER"".","False","renew","False","","","False","","1552.0","flat","","Covibar - Pablo Iglesias, Rivas-Vaciamadrid","Piso en joan miro","False","False","False","False","","","False","False","1168","24","11","50","0","Comprar","Viviendas en distrito El Mirador - Grillero, Arganda","500","550","True"
"99358110","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/06/9f/08/1041947598.jpg","ENC2051","23","2","115000.0","flat","sale","79.0","False","3","1","Calle Francisco de Goya","Madrid","Mejorada del Campo","","es","40.3891785","-3.4855627","False","https://www.idealista.com/inmueble/99358110/","11836","GLOBALPISO MEJORADA, Vende fantástico inmueble en una de las mejores zonas del municipio, 2 planta exterior sin ascensor, dispone de 79 metros cuadrados construidos, se distribuye en recibidor de entrada con acceso a cocina amplia, con ventana a patio de luces, amplio salón comedor exterior a la misma calle, pasillo distribuidor, baño completo con plato de ducha, dispone de 3 habitaciones todas ellas con ventana tanto a la calle como a patio de luces. Si tiene problema con la financiación, estamos consiguiendo hasta el 100% con nuestro departamento financiero Grocasa Hipotecas. Ya estamos en Mejorada ofreciendo el mejor servicio a ámbito inmobiliario de la comunidad de Madrid.  PARA MAYOR INFORMACIÓN CONTACTARSE CON LA OFICINA DE MEJORADA DEL CAMPO AL 910 54 42 20.   *Globalpiso nunca solicita documentación, ni dinero sin visitar la vivienda* *Financiación 100% a través del departamento financiero de Global Piso (Grocasa Hipotecas). *La obtención de la financiación está sujeta a las condiciones de la entidad financiera y tendrá en cuenta el perfil y solvencia del cliente.","False","renew","False","","","False","","1456.0","flat","","Mejorada del Campo","Piso en Calle Francisco de Goya","False","False","True","False","","","False","False","","","","","","Viviendas","","","",""
"99328718","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0c/9b/01/1040493950.jpg","","25","bj","230000.0","flat","sale","90.0","True","2","1","Calle Sigrid","Madrid","Rivas-Vaciamadrid","Rivas Centro","es","40.3519212","-3.5162188","False","https://www.idealista.com/inmueble/99328718/","10983","'Agencia Inmobiliaria Tecnocasa Rivas Vaciamadrid 'Agencia Inmobiliaria Tecnocasa Rivas Futura - Av Pablo Iglesias 81. VENDE en exclusiva piso en Calle Sigrid. Excelente piso en la zona de Rivas-Vaciamadrid, una de las mejores zonas de Rivas en cuanto a conexiones y servicios. Hay centro comerciales como Rivas centro, C. C H2O, además de cadenas de supermercados, farmacia, peluquería, guardería, alimentación y bares. Piso de 122 metros construidos. Esta bonita vivienda se distribuye en 2 dormitorios con armarios empotrados, 1 baños, un amplio salón, la cocina con galería-tendedero. Con plaza de garaje y trastero. Estas impresionantes zonas comunes de las que poder disfrutar con piscina y parque infantiles. Fontanería y electricidad en buen estado. NO DUDES EN LLAMARNOS PARA CONCERTAR TU VISITA..","False","good","False","","","True","","2556.0","flat","","Rivas Centro, Rivas-Vaciamadrid","Piso en Calle Sigrid","True","False","False","False","","","False","False","","","","","","distrito El Mirador - Grillero, Arganda","","","",""
"97811989","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/02/16/f0/1042658013.jpg","","42","","189000.0","chalet","sale","179.0","False","4","2","Eurovillas","Madrid","Eurovillas","","es","40.3463461","-3.247565","False","https://www.idealista.com/inmueble/97811989/","14089","Casa independiente con tres dormitorios y dos baños. Vivienda con encanto de estilo canadiense. En esta bonita casa encontramos en planta baja el salón en dos ambientes con salida a la terraza. El suelo es de madera al igual que las paredes, casa con techos altos, cómoda y acogedora. También en esta planta tenemos la cocina, donde podemos contemplar las vistas a la parcela y un espectacular entorno. Un estudio muy luminoso con un gran ventanal y un cuarto de baño completan esta planta En la planta alta se encuentran tres dormitorios con armarios empotrados y un baño. El dormitorio principal tiene vestidor con grandes ventanales. Una vivienda única y confortable, en parcela de 951 metros en una ubicación excepcional dando al valle y con preciosas vistas.  Los revestimientos exteriores son de ladrillo con tablas horizontales de madera de pino de ""Spruce"" canadiense de primera calidad. A cinco minutos de colegios y centro comercial y a 20km de Alcalá de Henares y A-2.","False","good","False","","","","","1056.0","chalet","independantHouse","Eurovillas","Casa independiente","True","False","False","False","","","False","False","","","","","","Todos los precios","","","",""
"97005556","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4a/25/f1/1000496989.jpg","1547","25","","579999.0","chalet","sale","209.0","False","4","4","Calle Dulce Chacón","Madrid","Rivas-Vaciamadrid","Rivas Urbanizaciones","es","40.3732958","-3.5436926","False","https://www.idealista.com/inmueble/97005556/","14212","PISO CON INQUILINOS - SOLO INVERSORES Rentabilidad: 4,23% Inicio del contrato: 15/03/2021 Fin del contrato: 14/03/2026 Renta: 2044€ Propiedad con inquilino construida en 2020 en Rivas-Vaciamadrid, Madrid. La vivienda es un chalet de cuatro plantas que cuenta con 181,74 m2 útiles distribuidos en 3 plantas, la planta a pie de calle esta compuesta por hall de entrada, cocina equipada sin electrodomésticos, baño y salón amplio con acceso al porche trasero, la primera planta tiene tres habitaciones con armarios empotrados y dos cuartos de baño. En la última planta se encuentra la buhardilla, con un baño completo y sótano de unos 80m2 útiles. Se encuentra en buen estado de mantenimiento, cuenta con aire acondicionado, calefacción, terraza, jardín y dos plazas de garaje. Dispone de ventanas climalit, suelo de tarima flotante y balcones en las habitaciones. Inviertis es un marketplace para inversores inmobiliarios donde encontrar información y todo un entorno online para comprar propiedades rentables que ya están alquiladas. Los inversores pueden acceder a viviendas que tienen inquilinos con contrato y al día de pago y comprar totalmente online una propiedad como si fuera un activo financiero. El comprador tiene acceso a métricas financieras como el ROI, la rentabilidad o el flujo de caja. Y además, puede descargar todos los documentos y los datos de interés del inmueble. Inviertis ayuda de esta manera a los pequeños y medianos inversores a la vez que ayuda a los inquilinos a conservar sus viviendas. Infórmate más en Inviertis. es.","False","good","False","True","True","","","2775.0","chalet","semidetachedHouse","Rivas Urbanizaciones, Rivas-Vaciamadrid","Chalet pareado en Calle Dulce Chacón","True","False","False","False","","","False","False","","","","","","Todos los tamaños","","","",""
"96660674","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/86/90/4a/1008455591.jpg","60695923","31","1","147500.0","flat","sale","121.0","True","2","1","Ronda de la Ermita","Madrid","Pozuelo del Rey","","es","40.3665553","-3.3206314","False","https://www.idealista.com/inmueble/96660674/","9982","Mercaser Grupo Inmobiliario, vende Vivienda distribuida en 2 habitaciones, baño, cocina y salón-comedor.    Edificio ubicado en un barrio residencial consolidado cerca de zonas verdes valoradas como el Parque de la localidad; ideal para pasear y disfrutar del aire libre.    Equipamientos deportivos municipales y centros educativos como la escuela Qubel Wine Center.    Se encuentra cercano al Ayuntamiento de Pozuelo del Rey; en zona dotada de superficies comerciales de grandes dimensiones y tiendas de barrio necesarias, ocio y restauración.    Todo ello, además, con excelentes comunicaciones por transporte público (autobús) y carreteras.      Gastos de escrituras e impuestos no incluidos.    No cobramos comisión al comprador.      Pozuelo del Rey es un municipio que forma parte de la Comarca de Cuenca de Henares, contando con una economía basada en la agricultura, destacando las plantaciones de cebada. Como lugares de interés destacar la Iglesia de Santo Domingo de Silos, la Ermita de la Virgen de la Cabeza y la Plaza Mayor.","False","good","False","True","True","False","","1219.0","flat","","Pozuelo del Rey","Piso en Ronda de la Ermita","False","False","False","False","","","False","False","","","","","","","","","",""
"38245885","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e4/2b/9e/969993543.jpg","60478259","28","","139000.0","chalet","sale","212.0","False","3","3","Calle Vega","Madrid","Villar del Olmo","","es","40.3383103","-3.2360127","False","https://www.idealista.com/inmueble/38245885/","14751","Mercaser Grupo Inmobiliario, se vende Chalet adosado en venta en Villar del Olmo de 212m2. Consta 3 plantas con 3 dormitorios y 3 baños. Buhardilla acondicionada Dispone además de terraza. Situada en una zona tranquila y residencial, bien comunicada con el centro urbano.    No dejes de pasar esta gran oportunidad!     Gastos de escrituras e impuestos no incluidos.    No cobramos comisión al comprador.    Nuevo Baztán es un municipio perteneciente a la Comunidad de Madrid situado en la comarca Cuenca del Henares, ubicado a 50 km al este de Madrid y a 20 km al sureste de Alcalá de Henares, a una altitud de 831 msnm. El casco histórico tiene sus inicios en el periodo que va desde el año 1709 a 1713 como residencia de los obreros de una fábrica de vidrio. En la actualidad, muchas familias tanto de Madrid como de Alcalá de Henares tienen residencias de fin de semana en alguna de las cuatro urbanizaciones de Nuevo Baztán.    SOCIODEMOGRAFÍA  Habitantes: 6.018 Número de hogares: 3.941 Edad media de las personas: 37 años% extranjeros: 16%Nivel medio de estudios: Secundaria.","False","good","False","","","","","656.0","chalet","terracedHouse","Villar del Olmo","Chalet adosado en Calle Vega","False","False","False","False","","","False","False","","","","","","","","","",""
"94292068","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6a/46/70/884953152.jpg","","39","","288000.0","chalet","sale","176.0","False","3","3","Calle Real","Madrid","Morata de Tajuña","","es","40.231842","-3.4377676","False","https://www.idealista.com/inmueble/94292068/","8414","Gran oportunidad para vivir en un entorno privilegiado a 30 minutos de Madrid. Esta vivienda se encuentra ubicada en Morata de Tajuña, una localidad repleta de historia y zonas verdes. Rodeada de innumerables rutas y sendas por las que pasear disfrutando del paisaje junto a La Vega del Tajuña y visitar las rutas de la Batalla del Jarama. Se trata de un precioso CHALET ADOSADO de 176 metros cuadrados distribuido en DOS PLANTAS Y ALTILLO. Tipo rustico con ladrillo visto y vigas descubiertas.  CASA CON LOCAL COMERCIAL INDEPENDIENTE, DESPACHO CON BAÑO, APARTAMENTO DE 2 HABITACIONES Y PRIMERA PLANTA VIVIENDA COMPLETA. MEJOR VISITAR Pide tu cita +34 692 80 54 09.","False","good","False","","","","","1636.0","chalet","terracedHouse","Morata de Tajuña","Chalet adosado en Calle Real","True","False","False","False","","","False","False","","","","","","","","","",""
"99581559","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7e/d3/00/1048205466.jpg","6990-2427","34","2","262000.0","flat","sale","111.0","True","3","2","Avenida Pilar Miró","Madrid","Rivas-Vaciamadrid","Rivas Centro","es","40.3581164","-3.5167721","False","https://www.idealista.com/inmueble/99581559/","11380","Magnífico Piso de 111 m2 construidos, 90,60 m2 útiles con 3 dormitorios y 2 baños uno de ellos con ducha y el otro en suite con con bañera, amplia cocina amueblada equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora, lavadero/tendedero cubierto, tiene un amplio salón-comedor con terraza de 4 m2 aproximadamente, plaza de garaje y trastero. Suelos de tarima y gres, carpintería exterior de aluminio blanco y cristales climalit, puertas en roble, 3 armarios empotrados, calefacción individual por gas natural, videoportero, puerta blindada, urbanización cerrada con piscina comunitaria y parque infantil, perfecta ubicación en Rivas Centro zona Pilar Miró, con colegios, autobuses, supermercados y comercios todo lo del día a día andando. No dude en visitarlo, el precio no incluye impuestos ni gastos de escrituración o tasación, no cobramos honorarios al comprador.","False","good","False","True","True","True","","2360.0","flat","","Rivas Centro, Rivas-Vaciamadrid","Piso en Avenida Pilar Miró","False","False","True","False","","","False","False","","","","","","","","","",""
"99496150","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d5/22/ae/1045786830.jpg","C0026-01870","39","1","169900.0","duplex","sale","94.0","True","3","2","Torres de la Alameda","Madrid","Torres de la Alameda","","es","40.4061715","-3.3615155","False","https://www.idealista.com/inmueble/99496150/","12024","Ahora tienes la posibilidad de tener tu vivienda tipo dúplex con plaza de garaje. No te dejará indiferente por su buen estado de conservación y sus vistas despejadas. Cuenta con una superficie de 94 metros cuadrados bien distribuidos aprovechando el espacio al máximo. Sólo paga 51 € de comunidad y 293 € de IBI anual. En la planta baja nos recibe el vestíbulo, a la izquierda encontramos un salón espacioso y luminoso y al frente la cocina, independiente y con acceso a tendedero. Además, para el servicio de la planta cuenta con un aseo.  La parte superior con techos abuhardillados cuenta con tres dormitorios, todas ellas con armarios empotrados y un baño.  Torres de la Alameda, situada al este de Madrid, se configura como uno de los puntos eje de la Campiña-Corredor del Henares. Actualmente es un municipio caracterizado por una confluencia de elementos económicos, sociales y culturales que hacen de él, sin ninguna duda, un punto muy atractivo. Equidistante de Alcalá de Henares y de Torrejón de Ardoz, unos 10 km, a 14 de San Fernando de Henares y a 30 km de Madrid. ¿Vas a perderte la oportunidad de visitarlo? ¡Llama y pregúntanos!","False","good","False","","","False","","1807.0","flat","duplex","Torres de la Alameda","Dúplex","True","True","False","False","","","False","False","","","","","","","","","",""
