"elementList__propertyCode","elementList__thumbnail","elementList__externalReference","elementList__numPhotos","elementList__floor","elementList__price","elementList__propertyType","elementList__operation","elementList__size","elementList__exterior","elementList__rooms","elementList__bathrooms","elementList__address","elementList__province","elementList__municipality","elementList__district","elementList__country","elementList__latitude","elementList__longitude","elementList__showAddress","elementList__url","elementList__distance","elementList__description","elementList__hasVideo","elementList__status","elementList__newDevelopment","elementList__hasLift","elementList__parkingSpace__hasParkingSpace","elementList__parkingSpace__isParkingSpaceIncludedInPrice","elementList__parkingSpace__parkingSpacePrice","elementList__priceByArea","elementList__detailedType__typology","elementList__detailedType__subTypology","elementList__suggestedTexts__subtitle","elementList__suggestedTexts__title","elementList__hasPlan","elementList__has3DTour","elementList__has360","elementList__hasStaging","elementList__labels__name","elementList__labels__text","elementList__topNewDevelopment","elementList__superTopHighlight","total","totalPages","actualPage","itemsPerPage","numPaginations","summary","alertName","lowerRangePosition","upperRangePosition","paginable"
"99258011","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d8/27/e9/1038182477.jpg","PIS0237","17","4","108000.0","flat","sale","76.0","True","3","1","Calle Flor de Lis","Madrid","Arganda","Centro","es","40.3059256","-3.4410457","False","https://www.idealista.com/inmueble/99258011/","3183","ESTE PISO UBICADO EN ARGANDA DEL REY es una GRAN OPORTUNIDAD para comprar un piso en BUENA UBICACIÓN y a BUEN PRECIO.  La vivienda consta de 76 metros cuadrados distribuidos en 3 dormitorios, 1 baño, salón, cocina, lavadero y 2 terrazas. Tanto el salón como el dormitorio principal tienen salida a dos terrazas con vistas a la zona además de aire acondicionado en ambas estancias. La calefacción es eléctrica por acumuladores. La vivienda tiene orientación sur por lo que cuenta con luz durante todo el día.  La cocina tiene salida a un tendedero acristalado. Cuenta con suelos de gres, ventanas dobles correderas de pvc climalit y puertas de madera de nogal. Es una cuarta planta sin ascensor.  La vivienda tiene buena comunicación hacia las carreteras de salida del pueblo, además de varias paradas de autobús (285, 312, 320, 313) y el metro ""Arganda del Rey"" (línea 9) a 400 metros Alrededor del piso tenemos todo tipo de servicios e infraestructuras como Centros Educativos, comercios, centros comerciales, supermercados y farmacias, restaurantes y parque públicos.  Arganda del Rey es un municipio y localidad española de la Comunidad de Madrid, situada a 28 km de Madrid. Enlaza con Madrid por la línea 312 de Alsa, por la línea 9 de TFM de metro, por la autovía A-3 y por la autopista de peaje R-3.  En la INMOBILIARIA TAGONIA disponemos de servicios de financiación ofreciendo las mejores condiciones para la hipoteca y consiguiendo desde el 90% de la financiación.  Si tiene cualquier duda, quiere más información o le gustaria hacer una visita, llámenos sin compromiso, esteremos encantados de poder ayudarle.","True","good","False","False","","","","1421.0","flat","","Centro, Arganda","Piso en Calle Flor de Lis","False","False","False","False","","","False","False","1168","24","14","50","0","Comprar","Viviendas en distrito El Mirador - Grillero, Arganda","650","700","True"
"99223186","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/55/d4/1037404948.jpg","3512_00520","46","bj","279000.0","duplex","sale","109.0","True","2","2","Plaza Alegría","Madrid","Arganda","Los Villares","es","40.3091491","-3.4500403","False","https://www.idealista.com/inmueble/99223186/","3989","ÁTICO DÚPLEX DISPONIBLE EN ALQUILER OPCIÓN COMPRA o VENTA EN LA PLAZA ALEGRÍA. TAMBIÉN DISPONIBLE ALQUILER OPCIÓN COMPRA. HONORARIOS INCLUIDOS EN EL PRECIO. RE/MAX Boreal Futura ofrece en exclusiva este hermoso ático-dúplex con vistas a la urbanización de los Cascabeles (los Villares).  Se encuentra situado en una de las mejores zonas de Arganda del Rey (Los Villares), donde por su localización, se disfruta de mucha tranquilidad y privacidad.  Tal y como se puede apreciar en el plano, la vivienda se encuentra distribuida de la siguiente manera:     PLANTA BAJA:    -Un vestíbulo con armario empotrado.  -Un distribuidor.  -Un baño completo.  -Un dormitorio doble con armario empotrado.  -Una cocina.  -Un salón comedor.  Desde la cocina y el salón comedor se acceden a una preciosa terraza de 16,50 m². Desde el salón comedor se sube a la Planta Alta.     PLANTA ALTA  -Un distribuidor.  -Un dormitorio suite con armario empotrado y un baño completo con bañera de hidromasaje.  -Un tendedero.  El distribuidor y el dormitorio tienen acceso a una gran terraza de 29,84 m².     La ubicación del ático es idóneo. Todos los servicios necesarios se encuentran muy próximos a la vivienda: escuelas infantiles, guarderías, colegios e institutos, ambulatorios, supermercados, farmacias, Existen parques infantiles y amplias zonas ajardinadas en los alrededores. Además, destacamos el Hospital del Sureste, que se sitúa a menos de 5 min en coche.     En cuanto al transporte, la zona cuenta con acceso directo a A-3, R-3 y M-300; varias paradas de bus en las proximidades  (L1, L2 y L4), interurbanas (260, 261, 312, 312A, 313, 320, 321, 322, 326, N303) y la línea 9 del metro (Arganda del Rey y La Poveda) a 10 min andando.     2 PLAZAS DE GARAJE Y TRASTERO INCLUIDOS EN EL PRECIO.     ¡LAS ÚLTIMAS 4 FOTOS SON IDEAS DE REFORMA DE UN ÁTICO SIMILAR EN LA MISMA PLAZA!    .","False","good","False","True","True","True","","2560.0","flat","duplex","Los Villares, Arganda","Dúplex en Plaza Alegría","True","False","False","False","","","False","False","","","","","","Viviendas","","","",""
"99091206","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1d/3a/bc/1033193738.jpg","3494-00891","33","2","180000.0","flat","sale","90.0","True","3","2","Avenida Maria Moliner, 3","Madrid","Loeches","","es","40.3849644","-3.41553","True","https://www.idealista.com/inmueble/99091206/","9177","PISO EN VENTA EN LOECHES… A 35 MINUTOS DEL CENTRO DE MADRID. Destaca por su ubicación en excelente zona del pueblo. Cuenta con una superficie de 90 M2. , distribuidos en Salón Comedor con amplios ventanales, los cuales le dan a la vivienda mucha claridad y ventilación. 3 dormitorios; uno de ellos en suite: con Cuarto de Baño Completo y Vestidor. Amplia Cocina Amueblada con electrodomésticos básicos: Campana, Vitrocerámica y Horno.  Dispone también de Tendedero. 2 cuartos de Baño Completos.    Los acabados de excelente calidad, incluyen Carpintería Exterior de Doble acristalamiento en Aluminio Blanco y Climalit. Carpintería Interior de Madera de Pino. Suelos de Tarima y Gres. Paredes Lisas. Calefacción de Gas Natural. Puerta de Seguridad Blindada.    La vivienda dispone de 2 Plazas de Garaje y un Trastero.  También dispone la finca de ascensor.   En las inmediaciones podemos contar con todos los servicios: Centro Médico, Farmacias, Colegios, Instituto, Supermercados, Transporte Público, etc. Todas estas comodidades terminan de convertir esta vivienda en un espacio perfecto para una vida cómoda y muy relajada.  Su situación garantiza un rápido desplazamiento al centro de Madrid por la A3 y R3.  Loeches está situado en el Sureste de la Comunidad de Madrid, abarca una extensión de 44 kilómetros cuadrados, es un municipio tranquilo y rodeado de naturaleza, pero con los servicios de cualquier gran ciudad. Ideal para gente joven con hijos.  Loeches es el sitio especial, en el que siempre has querido vivir.   Ven a vernos o llámanos y hablemos...","False","good","False","True","True","True","","2000.0","flat","","Loeches","Piso en Avenida Maria Moliner, 3","False","False","False","False","","","False","False","","","","","","distrito El Mirador - Grillero, Arganda","","","",""
"98974283","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2e/4d/3b/1030067786.jpg","IZ-02992","98","","485000.0","chalet","sale","556.0","False","7","4","Eurovillas","Madrid","Eurovillas","","es","40.341931","-3.2496111","False","https://www.idealista.com/inmueble/98974283/","13764","CHALET INDEPEDIENTE CON AROMA A CAMPO, EN EL SURESTE DE MADRID. URBANIZACIÓN PRIVADA CON TODOS LOS SERVICIOS ¡IDEAL PARA DISFRUTAR DE LA TRANQUILIDAD A UN PASO DE MADRID! Este chalet independiente está distribuido en dos plantas, 556m2, según datos actualizados de catastro, incluidos porches, garajes y piscina y con parcela de 2000m2. Tiene 7 dormitorios y 4 baños. PLANTA BAJA: Superficie útil: 272,50 m2. La entrada principal está acogida por un amplio recibidor de 20 mts. que da paso a las siguientes estancias, todas ellas independientes: salón de 82m2, suite con baño completo, un aseo, un segundo dormitorio y cocina con comedor de 52m2, 2 terrazas, lavandería, y garaje cubierto.  PLANTA MEDIA: Superficie útil: 48,20 m2. Desde el recibidor accedemos por una amplia escalera a la entreplanta, donde nos encontramos con un dormitorio con chimenea, baño en suite, y un despacho independiente.  PLANTA I: Superficie útil: 78,20 m2. A través del siguiente tramo de la escalera llegamos a la segunda planta, con apertura a un mirador que nos conduce a un vestíbulo de 22 m2, destinado actualmente a sala de estar, 3 dormitorios y un baño completo. CARACTERÍSTICAS: El salón tiene una distribución multiambiental, por lo que podrás disfrutar con independencia, de momentos únicos, y además dispone de una bodega con comedor. La luz natural es la protagonista en toda la estancia, gracias a los dos grandes ventanales que la presiden, y sus dos chimeneas, harán del invierno, la estación perfecta para disfrutar del hogar. La cocina de 51m2, la reina de esta casa, ha sido recientemente actualizada con elementos de última generación, incorporando en su isla un generoso área de trabajo y un desayunador de para 5 personas. Esta moderna cocina está completamente equipada con electrodomésticos integrados, y abierta a una zona de comedor que comunica directamente con una terraza, por puertas completamente correderas, para ampliar así su capacidad en eventos especiales. Todos los dormitorios disponen de armarios empotrados, así como en los pasillos, donde cada espacio ha sido aprovechado al máximo para poder tener siempre todo bien organizado.  Ya en el exterior podrás disfrutar de la piscina de 50 m2, zona deportiva, tres porches, uno de ellos de 35m2, y una zona de barbacoa. También hay una caseta de construcción destinada para trastero y un garaje techado para dos coches, a parte del cubierto. La parcela tiene un equilibrio muy interesante entre la zona de jardín y la pavimentada, por lo que requiere un mínimo nivel de mantenimiento. SERVICIOS: Esta vivienda unifamiliar se encuentra dentro de la urbanización más grande de Europa y cuenta con todos los servicios necesarios para cualquier familia: Dos Colegios: CIE (Concertado) y CP Goyeneche, Casita de los niños, Centro cultural Valmores, Casa de la Juventud, parques, pistas de paddle, polideportivo, escuelas de baile, gimnasio, dos centros comerciales: Carrefour Express, Erosky, restaurantes, centros de estética y peluquerías, ferreterías, óptica, Farmacia, etc. Todo ello sin salir de la urbanización. COMUNICACION: Ubicado en una de las zonas de más fácil acceso a Madrid, por la R3, A3 y A2. A tan solo 45 minutos de la capital. A 20 minutos de Arganda del Rey, 30 minutos de Alcalá de Henares,Torrejón de Ardoz y Coslada. La urbanización pertenece a dos municipios: Nuevo Baztán y Villar del Olmo y se encuentra a 7 kms de la pintoresca Olmeda de las Fuentes y a 12 kms de Campo Real. Por autobús: Líneas 20, 261 y 321.","True","good","False","","True","True","","872.0","chalet","independantHouse","Eurovillas","Casa independiente","True","True","False","False","","","False","False","","","","","","Todos los precios","","","",""
"98973836","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e5/0d/dd/1030033153.jpg","IZ-02991","70","","370000.0","chalet","sale","280.0","False","4","2","Eurovillas","Madrid","Eurovillas","","es","40.3537116","-3.2469939","False","https://www.idealista.com/inmueble/98973836/","14434","Magnifico chalet independiente, en el sureste de Madrid en la urbanización mas grande de Europa, perteneciente a Nuevo Baztán, uno de los pueblos mas bonitos de España a tan solo 40 minutos de Madrid, dispone de todos los servicios, y comodidades, este chalet tiene Piscina en una gran parcela de 1000 m2 y con 280m2 de vivienda, distribuidos en dos plantas. Tiene garaje con puerta automática, cenador, porche y amplia barbacoa. Consta de 4 habitaciones y 2 baños más un aseo en el exterior. PLANTA BAJA:  La entrada principal tiene un porche y a continuación un recibidor, el amplio salón comedor con su chimenea de casset, lo hace cálido y acogedor, cocina independiente que da al porche exterior de la vivienda, además aquí se encuentran dos habitaciones y un baño. PLANTA 1 Nos encontramos la habitación principal con el baño en suite con jacuzzi y ducha, un vestidor incluido y desde la habitación se sale a una terraza con vistas a la parcela. Dispone de otra habitación mas y una zona para despacho amplia. La parcela al entrar tiene una zona ajardinada con coníferas y encinas. En la parte de atrás podemos salir desde la cocina a un porche y a continuación un gran cenador de madera, después nos encontramos con una gran zona de confort que incluye barbacoa y barra de bar. Zona independiente de césped. La piscina es de sal, con control de ph automático, con una lona automática para cubrirla y así retener mejor el calor y alargar la temporada de baño, también evita que se ensucie y proporciona seguridad para los mas pequeños. La evaporación disminuye y así evitamos añadir una gran cantidad de agua. Muy fácilmente podemos activar el jacuzzi incluido en la piscina. En la construcción adicional de madera nos encontramos varias divisiones, en una, es donde se protege todas las instalaciones, otra división es un trastero y por ultimo un aseo. En el lateral de la parcela hay una cochera. Esta vivienda dispone de placas solares para calentar el agua caliente, el suelo radiante de las dos plantas y piscina. Las ventanas son de climalit con mosquiteras. Todas Las habitaciones tienen armarios empotrados también hay en el pasillo y debajo de la escalera. La calefacción es de gasoil. Servicios: Esta vivienda se encuentra dentro de la urbanización y cuenta con colegio publico y concertado, casita de cultura, casa de la juventud, iglesia del palacio de Nuevo Baztán, escuela de baile, restaurantes, ferreterías, Bancos, zapaterías, tiendas de ropa, supermercados Carrefour, Erosky, polideportivo con pistas de pádel,tenis, centros de estética, clínicas dentales, y demás. Comunicación: Ubicado en una de las zonas del Sureste de Madrid, por la carretera A3, R3, y A2, cerca de Arganda del Rey, de Alcalá de Henares y Torrejón de Ardoz. Autobuses disponibles para Madrid dentro de la urbanización. Autobuses: Lineas: 261, 20, Y 321.","True","good","False","","True","True","","1321.0","chalet","independantHouse","Eurovillas","Casa independiente","True","True","False","False","","","False","False","","","","","","Todos los tamaños","","","",""
"98923282","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/08/24/02/1042069236.jpg","A002V001V","26","2","140000.0","flat","sale","60.0","True","2","1","Calle de África, 4","Madrid","Velilla de San Antonio","","es","40.3703329","-3.482027","True","https://www.idealista.com/inmueble/98923282/","10012","RAYMU vende en Velilla de San Antonio    Vivienda en perfecto estado de 70 m2 construidos y 62 m2 útiles, en segunda planta sin ascensor, totalmente amueblada y equipada con electrodomésticos, muy luminosa, dos dormitorios, suelos de tarima flotante en salón y dormitorios, suelos de gres en cocina y baño, puertas interiores en madera de roble, puerta exterior de acceso a la vivienda blindada, ventanas con doble acristalamiento, salón con aire acondicionado, armarios empotrados de gran capacidad, cuarto de baño completo, cocina con amplio tendedero incorporado a la misma, terraza, portero eléctrico, calefacción y agua caliente individual por gas natural.  Ubicado en zona de mucha tranquilidad y de únicamente transito residencial, con todos los servicios a escasos metros, paradas de distintas líneas de autobuses, auditorio María Pineda, biblioteca, restaurantes, supermercados, centro de salud y plaza donde se encuentra el ayuntamiento, bancos, farmacia, estanco, a 1 KM de la R3 que nos enlaza sin pago de peaje con la M50, M45, M40, A3, A2, etc. , a 15 minutos en coche del Hospital del Henares y 20 minutos del aeropuerto.  Sus maravillosas zonas exteriores se detallan con simplemente 4 palabras: Parque Regional del Sureste. Zona protegida por la Comunidad de Madrid por sus preciosas lagunas, ríos, flora y fauna, ideal para distintos tipos de deporte (fotografía, pesca, bicicleta, correr, etc. ), o simplemente para desconectar paseando y disfrutando de la naturaleza y el paisaje sin contaminación.","True","good","False","False","","","","2333.0","flat","","Velilla de San Antonio","Piso en Calle de África, 4","False","False","False","False","","","False","False","","","","","","","","","",""
"98816966","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9f/15/d2/1024718664.jpg","IZ-02961","77","","395000.0","chalet","sale","281.0","False","6","4","Eurovillas","Madrid","Eurovillas","","es","40.3513627","-3.2577452","False","https://www.idealista.com/inmueble/98816966/","13494","CHALET INDEPENDIENTE CON ESTILO COLONIAL Y PANELES SOLARES Si buscas un chalet con todas las comodidades y el menor gasto energético, te abrimos las puertas de esta maravillosa propiedad de 281,34 m2 de vivienda y 998 m2 de parcela con piscina. 6 dormitorios, 1 sala multiusos, 3 baños completos, 1 aseo, salón, cocina independiente, bodega y sala de caldera. En el exterior, espacio completo de barbacoa, y aparcamiento cubierto para tres coches. Este chalet, del año 2005, ha sido diseñado a capricho, con las mejores calidades y el mejor aislamiento, ya que sus propietarios son profesionales de la construcción. DISTRIBUCIÓN: VIVIENDA: La propiedad tiene en la planta baja 142,37 m2, el porche delantero, da acceso a la entrada principal con armario de bienvenida, salón con chimenea, cocina con porche, 4 dormitorios, uno de ellos con baño en suite y un segundo baño completo. Planta bajo Cubierta: con 75,60 m2 con habitación multiusos, dos dormitorios y un baño con plato de ducha. Planta Semisótano 51,12 m2: bodega, comedor, sala de calderas y 1 aseo. EXTERIOR:  Si el interior es completo, el exterior está diseñado para cumplir cualquier necesidad que uno pueda tener, y gasto mínimo de mantenimiento, ya que tiene un gran equilibrio entre parte solada y jardín. Cenador redondo cubierto y pérgola de madera de estilo rústico con mesa para más de 20 comensales. También disponemos de un espacio con barbacoa tradicional, horno moruno y fregadero. Piscina de 8 x 4 con construcción independiente para la depuradora y para utensilios de jardín y piscina. También hay otra edificación de 54 m2, con 1 aseo y una segunda cocina. Y por supuesto, no podría faltar una zona reservada para el huerto. CALIDADES: Los muros de cerramiento de la fachada son de termo arcilla de 24 cm de grosor. Revestimiento monocapa china blanca. Ventanas de PVC oscilo batientes Kommerling con climalit de 4/6 + 4 con cámara de 18, con mosquiteras en la mayoría de las estancias. Puerta de entrada principal de PVC de seguridad. Tabiques de ladrillo y forjado sanitario. Mosquiteras. Puertas y azulejos de primera calidad. Suelos de Tarima AC4, excepto en cocina y baños donde encontramos suelos porcelánicos. El pavimento exterior es de gres extrusionado. La calefacción y agua caliente es con caldera de gasoil y tiene también placas solares.  Esta propiedad, tiene la garantía de una vivienda hecha a conciencia, para que en la vivienda, tanto en invierno, como en verano, se consigan temperaturas agradables sin un gasto extraordinario.  SERVICIOS: Esta vivienda unifamiliar se encuentra dentro de la urbanización más grande de Europa y cuenta con todos los servicios necesarios para cualquier familia: Dos Colegios: CIE (Concertado) y CP Goyeneche, Casita de los niños, Centro cultural Valmores, Casa de la Juventud, parques, pistas de paddle, polideportivo, escuelas de baile, gimnasio, dos centros comerciales: Carrefour Express, Erosky, restaurantes, centros de estética y peluquerías, ferreterías, óptica, Farmacia, etc. Todo ello sin salir de la urbanización. Y a escasos kilómetros se encuentran dos poblaciones, Nuevo Baztán y Villar del Olmo con Policía Local, Gasolinera, Iglesias, restaurantes, carnicerías, supermercados, escuela de baile, ferreterías, materiales de construcción, etc… Este chalet reúne todos los ingredientes para encantar a la vista, pero también al bolsillo.  NO COBRAMOS HONORARIOS A COMPRADORES ASESORÍA FINANCIERA GRATUITA Estaremos encantados de programar una visita inolvidable, también fines de semana y festivos.","True","good","False","","True","True","","1406.0","chalet","independantHouse","Eurovillas","Casa independiente","True","False","False","False","","","False","False","","","","","","","","","",""
"98627100","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a3/d6/98/1023990775.jpg","IZ-02932","105","","735000.0","chalet","sale","665.0","False","5","5","Eurovillas","Madrid","Eurovillas","","es","40.3595052","-3.2448377","False","https://www.idealista.com/inmueble/98627100/","14863","Todo el confort que te puedas imaginar y mas ….lo tiene este chalet. Espectacular chalet individual en el Sureste de Madrid, en la urbanización mas grande de Europa, pertenece a Nuevo Baztán uno de los pueblos mas bonitos de España elegido en el 2021 a tan solo 40 minutos de Madrid, dispone de todos los los servicios y comodidades. Este maravilloso chalet tiene piscina cubierta dentro de la vivienda, jardín con parcela de 1.900 m2, pista de pádel. Sus 665 m2 construidos están distribuidos en tres plantas con 5 dormitorios y 4 baños, mas 1 en el exterior, salón cocina independiente, zona de plancha, despachos, garaje cubierto para 3 coches, sala de juegos con barra de bar, esta vivienda cuenta con una gran solución inteligente domótica para el hogar para su gran comodidad, Y paneles solares pues es un gran ahorro energético. DISTRIBUCION: En la primera planta; nos encontramos con un gran salón comedor con chimenea, a continuación la cocina que dispone de isla y de office creando un espacio confortable con salida al jardín, al salón y a la entrada de la vivienda. Desde el salón se accede a otro peculiar espacio de jardín al aire libre, de estilo zen, incluido dentro de la vivienda, con un estanque con peces, papiros, dos encinas y bonsáis con el riego pulverizado creando un microclima especial para hacer de este rincón un lugar con un gran encanto, ideal para relajarte y reducir el estrés. A continuación nos encontramos un baño y la zona de plancha con un gran armario empotrado acristalado. La Piscina se encuentra dentro de la vivienda, con cascada y natación contracorriente, salida al jardín japones, al jardín exterior, y acceso a un baño, piscina con cubierta automática para taparla, ayudando así a la seguridad de niños y mascotas, una gran comodidad a la hora de utilizarla y para el mantenimiento de su limpieza, también este sistema te ayuda a mantener mejor la temperatura. Sistema automático para tener el PH perfecto, piscina de agua salada ideal para la piel. Desde el salón, pasamos a un pasillo que va distribuyendo a los 4 dormitorios y a los 3 baños que se encuentran en esta planta, una de las habitaciones esta como despacho. Habitaciones muy amplias y luminosas,con preciosas vistas al jardín, en una de las habitaciones, se puede contemplar a través de una ventana de medio circulo, la impresionante piscina climatizada. Garaje cubierto muy amplio para 3 plazas de coche. En la segunda planta nos encontramos con un despacho con una amplia terraza con toldo y unas magníficas vistas. Entramos al dormitorio principal de la casa con una chimenea, con un gran baño en suite con bañera especial de fisioterapia, ducha y ducha turca además de un espacioso vestidor. En la planta baja; nos encontramos con un espacio de ocio con una barra de bar. Observamos una ventana de buey de mar que se puede apreciar el fondo de la piscina. En la entrada en el jardín hay un estanque con forma de rio, con peces, nenúfares y demás plantas, dispone de una depuradora propia. En el lateral de la vivienda, se encuentra una pista de pádel.","True","good","False","","","","","1105.0","chalet","independantHouse","Eurovillas","Casa independiente","True","True","False","False","","","False","False","","","","","","","","","",""
"98533813","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b8/40/1c/1015529453.jpg","","41","","300000.0","chalet","sale","200.0","False","4","2","Calle Juncal s/n","Madrid","Morata de Tajuña","","es","40.2336248","-3.4346431","True","https://www.idealista.com/inmueble/98533813/","8139","OBRA NUEVA. En el mejor lugar de la Comunidad de Madrid. Chalet de diseño. Terreno propiedad al 100% de la constructora. Nos avala numerosas construcciones en la Comunidad de Madrid. Estilo moderno con grandes cristaleras, terrazas en vidrio en la mejor zona de Morata de Tajuña. Parcela mínima de 250 metros cuadrados. Garaje para dos vehículos y otros dos fuera. zonas comunes (padel, piscina y zonas infantiles) comunidad muy económica porque no se necesita socorrista. No hay apenas luz común, solo los focos de la pista de padel y piscina. Cuatro dormitorios, amplias terrazas útiles. obras muy avanzadas. Facilidades de pago. Primera fase vendida. Entrega en un año desde la señalización. 300.000 euros + iva. Hipoteca media 850 euros/ mes. Se admiten modificaciones en distribución y mejoras propuestas por el comprador. No cooperativa. Empezamos con la segunda. Reserva ya!","False","good","False","","","","","1500.0","chalet","semidetachedHouse","Morata de Tajuña","Chalet pareado en Calle Juncal s/n","False","False","False","False","","","False","False","","","","","","","","","",""
"98461531","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b2/d7/1d/1013050649.jpg","IZ-02914","68","","350000.0","chalet","sale","240.0","False","5","3","Eurovillas","Madrid","Eurovillas","","es","40.3532143","-3.2480776","False","https://www.idealista.com/inmueble/98461531/","14328","¿QUIERES MUDARTE YA A UN CHALET INDEPENDIENTE CON PISCINA A 45 MINUTOS DE MADRID CAPITAL? Te ofrecemos esta propiedad en la urbanización de Eurovillas, de diseño exclusivo, con aroma a nuevo: 240m2 construidos, parcela de 960m2 con piscina, construida en 2013. 4 dormitorios, 2 baños, 1 aseo, salón, porche, cocina independiente, en planta baja y 1 habitación con terraza solarium en planta superior. Lista para entrar a vivir.  DISTRIBUCIÓN:  Entrada principal con amplio recibidor y armario de bienvenida. Cocina independiente, con posibilidad de abrirla al salón de 45 m2, con salida al porche, 1 aseo y distribuidor con tres dormitorios, un baño completo y dormitorio principal con vestidor y baño en suite con bañera y plato de ducha.  Desde el salón accedemos a la planta superior con una cómoda escalera de madera de roble, y encontramos una quinta estancia de unos 30 m2 con terraza de 40m2. Además tenemos un espacio en bruto de otros 20 m2 preparado con tomas de agua y desagüe, para la construcción de baño. Ya en la parte exterior, la parcela está completamente solada, con materiales de primera calidad, piscina salina de obra, implementada hace dos años. Junto a ésta, podremos disfrutar de una pradera de césped y un espacio de jardín. Los espacios están totalmente aprovechados en el exterior de esta propiedad, con un lugar acotado para las mascotas, y una construcción independiente para el aislamiento óptimo de la caldera de Gasoil.  El acceso por la puerta de carruajes es muy cómodo y diseñado para varios coches. CARACTERÍSTICAS:  Todos los materiales empleados en la construcción de este exclusivo chalet, han sido cuidadosamente seleccionados, para tener el aislamiento más óptimo y la mejor eficiencia energética. Ya desde la cubierta de la casa, la teja negra elegida, garantiza por su calidad, una extensa durabilidad y aislamiento. En el interior, la cerrajería y cerramientos, con los mejores cristales climalit, puertas blancas de primera calidad, así como la puerta principal que es blindada y anti-dumping. Los suelos son porcelánicos en toda la casa. CLIMATIZACIÓN: La calefacción es de suelo radiante por gasoil, al igual que el agua caliente. El salón y una de las habitaciones tiene aire acondicionado y bomba de calor.   SERVICIOS: Dos colegios, Casa de Cultura y de Juventud, parques, pistas de paddle, polideportivo, escuelas de baile, gimnasio, dos centros comerciales: Farmacia, Carrefour Express, Erosky, restaurantes y variedad de comercios. Policia Local, centro médicos, Gasolinera, Iglesias, restaurantes, carnicerías, supermercados, escuela de baile, ferreterías, materiales de contrucción, etc… COMUNICACIÓN Ubicado en una de las zonas de más fácil acceso a Madrid, por la R3, A3 y A2. A tan solo 45 minutos de la capital. A 20 minutos de Arganda del Rey, 30 minutos de Alcalá de Henares, Torrejón de Ardoz y Coslada. La urbanización pertenece a dos municipios: Nuevo Baztán y Villar del Olmo y se encuentra a 7 kms de la pintoresca Olmeda de las Fuentes y a 12 kms de Campo Real. Por autobús: Líneas 20, 261 y 321. NO COBRAMOS HONORARIOS A COMPRADORES. ASESORAMIENTO FINANCIERO GRATUÍTO.","True","good","False","","","","","1458.0","chalet","independantHouse","Eurovillas","Casa independiente","True","True","False","False","","","False","False","","","","","","","","","",""
