"elementList__propertyCode","elementList__thumbnail","elementList__externalReference","elementList__numPhotos","elementList__floor","elementList__price","elementList__propertyType","elementList__operation","elementList__size","elementList__exterior","elementList__rooms","elementList__bathrooms","elementList__address","elementList__province","elementList__municipality","elementList__district","elementList__country","elementList__latitude","elementList__longitude","elementList__showAddress","elementList__url","elementList__distance","elementList__description","elementList__hasVideo","elementList__status","elementList__newDevelopment","elementList__hasLift","elementList__parkingSpace__hasParkingSpace","elementList__parkingSpace__isParkingSpaceIncludedInPrice","elementList__newDevelopmentFinished","elementList__priceByArea","elementList__detailedType__typology","elementList__detailedType__subTypology","elementList__suggestedTexts__subtitle","elementList__suggestedTexts__title","elementList__hasPlan","elementList__has3DTour","elementList__has360","elementList__hasStaging","elementList__labels__name","elementList__labels__text","elementList__topNewDevelopment","elementList__superTopHighlight","total","totalPages","actualPage","itemsPerPage","numPaginations","summary","alertName","lowerRangePosition","upperRangePosition","paginable"
"99483960","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/31/f7/886972639.jpg","5º F","23","5","197000.0","flat","sale","81.0","True","2","1","Calle Telegrafista Jose Jackson , 2","Madrid","Arganda","Centro","es","40.3057198","-3.4469645","True","https://www.idealista.com/obra-nueva/99483960/","3680","El edificio Camporrosso Prisma estará junto a la plaza de la Concordia, en Arganda. Tiene al lado Metro y muy buena comunicación por la red viaria. Tiene al lado también la Ciudad Deportiva Príncipe Felipe, centros de Enseñanza (IES José Saramago, Colegio Malvar, …), Mercadona, Gimnasios, … Es un Barrio moderno, de nueva edificación, con una buena red peatonal. Todo esto lo hace una excelente opción para una persona que trabaje en cualquier lugar de la Comunidad de Madrid. Un gran sitio para vivir. Hay aspectos del edificio que son poco visibles, como los grandes muros pantalla que forman la cimentación especial, muros de hormigón armado de hasta 20 metros de profundidad… Despliegue estructural que es un gran esfuerzo económico, aunque se ve poco. Además, se construye con materiales de alta calidad, y una cuidada atención al aislamiento y a la eficiencia energética. El Edificio tiene forma de prisma. Poderoso, elegante y minimalista. A base de líneas rectas, sencillez de formas y luz, buscando maximizar la luz de cada espacio. ¡Tu casa, tu vida! ¡Obra iniciada! Oficina de Ventas situada en la Calle Tren de Arganda 26. ABIERTA: los martes y los viernes: de 10:00 a 14:00h y de 16:00 a 19:00h.","False","newdevelopment","True","True","True","True","False","2432.0","flat","","Centro, Arganda","Piso en Calle Telegrafista Jose Jackson , 2","True","False","False","False","","","False","False","1167","24","3","50","0","Comprar","Viviendas en distrito El Mirador - Grillero, Arganda","100","150","True"
"98474279","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b7/89/6d/1014817816.jpg","Calle Colombia","104","","388000.0","chalet","sale","265.0","False","5","4","Calle Colombia","Madrid","Arganda","Los Villares","es","40.3086607","-3.4572753","False","https://www.idealista.com/inmueble/98474279/","4586","Les presentamos esta magnífica y exclusiva propiedad en Arganda del Rey. Esta propiedad se distribuye en tres cómodas plantas comunicadas por escalera.  En esta propiedad un porche delantero con toldo eléctrico y con un acogedor hall acristalado nos invita a entrar en la planta principal donde se encuentra las siguientes estancias; - Hall de entrada con Armario, despensa y acceso a la planta de descanso y al garaje. - Amplio salón comedor con Aire Acondicionado frio/calor, amplio ventanal de doble hoja y puerta de doble hoja de acceso al patio. - Patio solado con gres imitación madera; El porche cuenta con toldo eléctrico regulable, La piscina dispone de luz, climatizador, ducha solar y las paredes de la parcela están revestidas de piedra.  -Amplia cocina, totalmente amueblada, con zona de comedor. -Bonito baño reformado con plato de ducha y mampara. -Garaje con puerta eléctrica y cuarto de Caldera y de lavadora. En la planta primera se encuentra la zona de descanso; Cuatro amplios dormitorios, todos ellos dobles, principal en suite con baño incorporado con plato de ducha. Los tres dormitorios restantes comparten el otro baño con bañera que hay en la planta.  Destacamos la reforma acometida en uno de los dormitorios ampliando su tamaño considerablemente al coger espacio de la terraza, aun así la terraza sigue siendo amplia.  Las habitaciones que dan al jardín tienen toldo.  Todos los dormitorios cuenta con Aire Acondicionado frio/calor. En esta planta el suelo es de tarima. La ventanas son muy grandes y oscilobatientes. Finalizamos el recorrido en la planta superior donde se encuentra la amplia buhardilla, antiguamente de 19 m2. Aquí se ha realizado una importante reforma ampliándola considerablemente más de 60 m2. Se han instalando dos Velux con persianas automáticas, calefacción, A/A inverte, baño completo con plato de ducha y mampara, muchos puntos de luz con halogenos, se ha cerrado la terraza para que sea una habitación y se ha instalando gran ventanal, de tres hojas, oscilobatientes. también dispone de un trastero, vestidor o cuarto de almacén con puerta y una gran sala diáfana con armarios y 3 ventanas velux (A esta zona la podemos dar múltiples usos). La reforma realizada en la Buhardilla ha sido considerable, ampliándola y utilizando materiales de calidad. Podemos destacar a grandes rasgos; el lavabo de diseño, el Aire Acondicionado frio/calor, el papel pintado, las ventanas velux, suelo de madera. El Garaje es para un coche, en la urbanización la Comunidad dispone de varias plazas de garaje que están siendo utilizadas por los vecinos cuando les toca. Se asignan las plazas rotativamente. La zona exterior está muy bien cuidada. Al estar la vivienda en una Urbanización Privada goza de mucha tranquilidad y seguridad. Los Villares es una de las zonas más atractiva y demandada de Arganda del Rey (Madrid). A la excelente ubicación geográfica, hay que sumar las dos vías de conexión, la A3 y la Radial, con otros municipios, sobre todo su proximidad con el centro de Madrid a 15 minutos. Vivir en Arganda, con tu parcela con piscina, rodeado de campo, con proximidad a la Ciudad es un auténtico lujo y privilegio. Las infraestructuras cercanas son excelentes y goza de un gran número de servicios a muy poca distancia. Se sitúa en las proximidades de Arganda del Rey, con numerosos colegios e Institutos. A un paso del Hospital del Sureste.  Tranquilidad y confort!.","True","good","False","","True","True","","1464.0","chalet","terracedHouse","Los Villares, Arganda","Chalet adosado en Calle Colombia","True","False","False","False","","","False","False","","","","","","Viviendas","","","",""
"99537489","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d3/17/db/1046839350.jpg","MH-01051","33","","510000.0","chalet","sale","200.0","False","5","3","Mortadelo y Filemón","Madrid","Rivas-Vaciamadrid","Rivas Centro","es","40.3580022","-3.5146148","False","https://www.idealista.com/inmueble/99537489/","11219","Mauriz Home Vende esta extraordinaria propiedad, que destaca por su diseño clásico y atemporal, además de por sus extraordinarios espacios. Es un chalet adosado situado en la zona más tranquila y residencial de Rivas Vaciamadrid, tiene 200 m² construidos y se sitúa sobre una parcela de 200 metros cuadrados en calle de acceso privado  La vivienda está formada por tres plantas. En la planta baja de unos 100 m2 construidos aprox. encontramos el hall, salón-comedor con acceso al porche cubierto y a la parcela trasera donde encontramos la zona de disfrute con piscina; cocina independiente con acceso, al igual que el salón al porche cubierto y a su vez a la parcela trasera del inmueble, un dormitorio y un baño con ducha, además del acceso a garaje para un coche, también dispone de armario de cortesía en el hall En planta primera de unos 75 m2 construidos, encontramos cuatro amplios dormitorios, tres de ellos con armarios empotrados y uno de ellos suite con amplio baño con bañera y salida a terraza privada, además de un baño más, también con bañera, que da servicio al resto de los dormitorios. La planta segunda, es una buhardilla de 20 m2, que está preparada para poder ampliarla por ambos lados de la ya construida El inmueble está construido sobre una parcela de 320 m2 de los cuales aproximadamente 200 m2 están destinados a piscina, solárium y zona de disfrute En la piscina de 8 x 4 tiene clorador salino La planta baja tiene suelos de cerámica y la primera y segunda de parquet, las ventanas son de tipo climalit y la puerta de la entrada es blindada. Calefacción individual por caldera de gas natural Está situada al lado del parque natural del Cerro del Telégrafo, muy bien comunicada, con parada de bus cercana y fácil e inmediato acceso a la A3. Muy cercano a todos los servicios y a zonas comerciales y de restauración. También muy cercano a colegios, institutos y guarderías Te invitamos a conocerla sin compromiso con uno de nuestros asesores expertos, para que te ayude a encontrar tu casa ideal, con un asesoramiento personalizado adaptado a tus necesidades. Y si lo necesitas, también te ayudamos con la financiación Llámanos sin compromiso!","False","good","False","","True","True","","2550.0","chalet","terracedHouse","Rivas Centro, Rivas-Vaciamadrid","Chalet adosado en Mortadelo y Filemón","True","False","False","False","","","False","False","","","","","","distrito El Mirador - Grillero, Arganda","","","",""
"98130436","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d8/b4/89/1002017203.jpg","11554","83","","649000.0","chalet","sale","200.0","False","4","4","Rivas Urbanizaciones","Madrid","Rivas-Vaciamadrid","Rivas Urbanizaciones","es","40.3687815","-3.5308636","False","https://www.idealista.com/inmueble/98130436/","13029","¿Quieres vivir en un chalet con todas las comodidades? Tenemos a la venta un chalet independiente de 245m2 en catastro con 3 dormitorios en planta sobre una parcela de 736 m2.    La vivienda dispone de 3 plantas: sótano, planta baja y buhardilla.    La planta principal es la que nos dará el confort de una vivienda cómoda para toda la vida. Entramos a la vivienda a través de un hall que distribuye un hermoso salón-comedor con chimenea y con vistas y salida a un gran jardín con piscina, una cocina independiente con office con aire acondicionado y también con salida al jardín, dos baños, uno de ellos en suite y tres dormitorios con armarios empotrados.    En la buhardilla nos encontramos con un baño y una gran habitación con vestidor, y por su tamaño puedes tener una zona de trabajo, toda la buhardilla hace de una estancia privada agradable, práctica y acogedora. La buhardilla dispone de aire acondicionado y las ventanas son nuevas, oscilobatientes con rotura de puente térmico.     El sótano ocupa toda la planta de la vivienda. Tiene varias estancias bien diferenciadas. En la zona centro un gran espacio para ocio, para compartir largas comidas en familia y amigos en invierno, y a continuación una zona de estar con chimenea. El sótano también dispone de un despacho, un aseo y un trastero. El sótano tiene de 2 Split de aire acondicionado.    Y lo que ahora tanto apreciamos es la gran parcela tanto delantera como trasera. La parcela delantera es bastante amplia, ahí está también el garaje. Inicialmente había un garaje y posteriormente se techó el camino que lleva al garaje, por lo que tienen capacidad para 3 vehículos. La parcela delantera comunica con la trasera a través de una rampa y pasando por un porche cerrado. Dicha parcela tiene una parte solada que utilizan junto con la barbacoa como zona para comer y compartir con amigos y familiares en la temporada de verano y zona con césped y arbolada para disfrutarlo con la gran piscina.    Como puedes ver, es la vivienda perfecta para poder vivir toda la vida por su comodidad y calidad de vida que aporta una vivienda de estas características.    Por otro lado, está cerca del cerro del telégrafo que está protegido, cercano a colegios, institutos, zona comercial, centro de salud, bus, etc.    Date la oportunidad de conocerle.     *Certificación Energética: “E"".     *Impuestos y gastos NO INCLUIDOS: ITP, IVA, IAJD, Notaría, Registro, Gestoría, Tasación, etc.….     *Si te hace falta te realizamos un estudio financiero y te ayudamos a conseguir tu préstamo hipotecario ¡gratuitamente! y por supuesto si necesitas ampliar información ¡Llámanos!","False","good","False","","","","","3245.0","chalet","independantHouse","Rivas Urbanizaciones, Rivas-Vaciamadrid","Casa independiente","True","False","True","False","","","False","False","","","","","","Todos los precios","","","",""
"97452357","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/db/d3/aa/979937630.jpg","","20","","185000.0","chalet","sale","100.0","False","3","1","Doctor Marañon, 21","Madrid","Mejorada del Campo","","es","40.3986532","-3.4919957","True","https://www.idealista.com/inmueble/97452357/","13010","Si estas buscando una casa baja para reformar y así poder hacer realidad tus sueño no busques más. Ubicada en Mejorada del campo, un pueblo a 15 minutos de Madrid, se encuentra esta casa con una construcción en solo una planta de 80m2 construidos.  Al entrar en la vivienda encontramos un pasillo con las 2 primeras puertas, a la derecha encontramos un salón comedor con ventanas al exterior, si continuamos por el mismo llegamos a una cocina, por la cual accedemos al baño, desde la cocina llegamos al patio. Desde el pasillo también entramos en la primera habitación con ventanas al exterior, y al final del mismo nos encontramos con una sala de descanso con ventanas al patio. Las otras 2 habitaciones con ventanas al patio se encuentran al final de la vivienda. La casa también tiene una trastero de 9m2 donde se encuentra la caldera. La superficie total de la parcela es de 200m2 y te quedaría de patio para la zona de aparcamiento de y disfrute familiar 90m2. No dudes en consultarnos, tenemos departamento técnico que te ayudara hacer la reforma que soñaste. También te financiamos hasta el 100% A que estas esperando.","False","renew","False","","True","True","","1850.0","chalet","semidetachedHouse","Mejorada del Campo","Chalet pareado en Doctor Marañon, 21","True","False","False","False","casaBajaType","Casa baja","False","False","","","","","","Todos los tamaños","","","",""
"96747607","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/af/ce/6b/955420544.jpg","NM00801","42","","315000.0","chalet","sale","295.0","False","3","3","Paseo DE LOS POZOS, 6","Madrid","Torres de la Alameda","","es","40.4041224","-3.3634576","True","https://www.idealista.com/inmueble/96747607/","11758","inmoversion SIN COMISIONES. No cobramos NADA al comprador. Somos la inmobiliaria online líder en la zona. ¿Sabes por qué? Es fácil de imaginar.  Vivienda unifamiliar ADOSADA, situada en TORRES DE LA ALAMEDA.  Los dueños de esta vivienda unifamiliar han decidido ponerla a la venta. Es una vivienda espaciosa de 3 dormitorios y buhardilla, con muchas posibilidades por su distribución.  En planta baja encontramos salón con acceso directo al jardín posterior, una cocina muy amplia e independiente y un aseo. El jardín posterior cuenta con acceso directo a las zonas comunes.  En planta primera se encuentran los tres dormitorios, el dormitorio principal con baño tipo suite y otro baño completo para dar servicio al resto de dormitorios.  En la buhardilla encontramos un espacio diáfano apto para un dormitorio extra, habitación juvenil / sala de juegos / gimnasio, etc). En la planta sótano garaje con espacio para tres vehículos y un trastero.  Características de la Vivienda: Construida en el año 2006, construcción de diseño moderno, cuenta con un gran traga luz a través de la planta primera y segunda lo que da gran luminosidad al interior de la vivienda.   Superficie construida: 295 metros cuadrados. Orientación SUR-ESTE. Todas las estancias de la vivienda reciben luz directa del exterior debido a su doble orientación. VIVIENDA EN ESQUINA, lo que le garantiza mayor intimidad.  Opción recomendable como residencia habitual familiar. La vivienda se vende sin amueblar. Gastos e impuestos: el precio indicado no incluye impuestos ni gastos de escrituración.  Las características de la vivienda son meramente informativas. No tienen valor contractual. Sobre nosotros:  inmoversion es una inmobiliaria online que no cobra comisiones. El vendedor sólo paga una tarifa fija y no cobramos nada al comprador. El precio de la vivienda no soporta comisiones de agencia y esta ajustado al precio de mercado. Visita inmoversion. es y conoce como trabajamos.","False","good","False","","True","True","","1068.0","chalet","terracedHouse","Torres de la Alameda","Chalet adosado en Paseo DE LOS POZOS, 6","False","False","False","False","","","False","False","","","","","","","","","",""
"99354129","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a5/e9/29/1041199980.jpg","RP482022105893","30","5","299000.0","flat","sale","105.0","True","3","2","Rivas Centro","Madrid","Rivas-Vaciamadrid","Rivas Centro","es","40.3483787","-3.5204388","False","https://www.idealista.com/inmueble/99354129/","11111","OPORTUNIDAD! Redpiso Vende en exclusiva piso de 2 dormitorios (originalmente eran 3 como se aprecia en el plano) en una de las mejores zonas de Rivas, muy cercano a los Colegios José Iturzaeta y Christian Andersen, al Mercadona, a diversos comercios, servicios y paradas de bus. Sus 105m² se encuentran distribuidos de la siguiente manera: hall recibidor con armario empotrado, salón amplio y luminoso con salida a terraza, cocina amueblada con tendedero cubierto, pasillo en L en el cual encontramos un baño completo con plato de ducha, un dormitorio espacioso con armario empotrado y el dormitorio principal con armario empotrado y baño en suite con bañera, y al final del pasillo donde antes estaba la puerta de acceso al tercer dormitorio, tenemos un armario empotrado. Tiene anejos una plaza de garaje y trastero. Excelentes calidades, suelos de tarima y cerámico, ventanas climalit, paredes lisas y gotelé, aire acondicionado en el salón, orientación oeste. La urbanización cuenta con amplias zonas comunes, piscina, parque infantil, pista de pádel y conserje. Podemos conseguir la mejor financiación con nuestro departamento financiero Dcredit. Visítelo sin compromiso!","False","good","False","True","True","True","","2848.0","flat","","Rivas Centro, Rivas-Vaciamadrid","Piso","True","False","False","False","","","False","False","","","","","","","","","",""
"99490719","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cb/8d/a1/1045631904.jpg","003.6202","39","","359000.0","chalet","sale","250.0","False","3","2","Santa Clara","Madrid","Arganda","Centro","es","40.2975304","-3.4369408","False","https://www.idealista.com/inmueble/99490719/","2881","Excelente casa independiente en esquina, de tres plantas. En una zona céntrica y tranquila a la vez, encontramos esta vivienda de tres dormitorios, con todos los servicios al alcance. A unos 10 minutos de la Estación de Metro de Arganda del Rey, muy cerca de paradas de autobús urbano e interurbano, con infinidad de servicios al alcance, colegios, centro de salud y zonas verdes. Vivienda con mucha luz natural, con muy buena orientación. Tres dormitorios amplios, exteriores, con grandes armarios empotrados con maletero. El principal con salida a una terraza acristalada con múltiples usos. En la misma planta, cuarto de baño con plato de ducha, con ventana, lo que te permite ventilación natural. En la planta baja, salón comedor independiente, muy amplio. Aseo con mueble bajo lavabo, con ventana. Gran cocina con zona de office, sin duda una parte muy especial de la casa, de diseño moderno, con muebles altos y bajos con acceso a una amplia terraza acristalada, con salida a su vez a un espacio al aire libre desde el que podemos disfrutar de unas fantásticas vistas del pueblo y desde el que podemos divisar Madrid en días claros.  Garaje de unos 90 metros cuadrados con capacidad para dos o tres vehículos y un gran trastero. Bajo el garaje, encontramos un sótano con ventilación, con infinidad de posibilidades para crear desde una bodega o gimnasio hasta un apartamento con entrada independiente. Calefacción de gasoil con depósito de unos 200 litros situado en el garaje.  Aire Acondicionado en salón, cocina y dormitorios.  Toldos y mosquiteras en todas las ventanas. Suelos de madera de gran calidad en salón y dormitorios y cerámico en el resto de la casa. Escalera de mármol nacional. Ventanas dobles de aluminio, lacado en blanco. Acceso al vestíbulo a través de una escalera, zona que también se encuentra acristalada. Suelo de las terrazas, baldosa de barro. Vivienda con cámara de aire. Una vivienda única. No dejes pasar la oportunidad de visitarla.  Tfno: 91 871 01 74.","False","good","False","","True","True","","1436.0","chalet","independantHouse","Centro, Arganda","Casa independiente en Santa Clara","False","False","False","False","","","False","False","","","","","","","","","",""
"99260365","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/08/a3/0e/1038245232.jpg","5606/2451","23","","133000.0","chalet","sale","78.0","False","2","1","Centro","Madrid","Arganda","Centro","es","40.3020815","-3.442123","False","https://www.idealista.com/inmueble/99260365/","3258","REF. 5606/2451. SE VENDE CASA EN ZONA CENTRO. Vivienda en dos plantas. para entrar a vivir. Tiene en planta baja cocina, salón independiente, un baño con plato de ducha. En 2º planta tiene dos espectaculares dormitorios de unos 18 m2 con mucha luz natural, aire acondicionado. calefacción gas natural. Vivienda con buena ubicación, calle muy tranquila. A cinco minutos andando de parada de metro línea nueve, parada de autobuses urbanos e interurbanos, Zoco de Arganda, colegios, supermercados, farmacias. A 25 Km DE MADRID. NO COBRAMOS HONORARIOS AL COMPRADOR. TRATO DIRECTO CON LA PROPIEDAD, TOTAL TRANSPARENCIA.","False","good","False","","","","","1705.0","chalet","terracedHouse","Centro, Arganda","Chalet adosado","True","False","False","False","","","False","False","","","","","","","","","",""
"98960203","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d5/f2/12/1029505816.jpg","CG-93666-0002","22","bj","181500.0","flat","sale","80.0","False","2","1","Plaza del Primero de Mayo","Madrid","Mejorada del Campo","","es","40.3956158","-3.4908008","False","https://www.idealista.com/inmueble/98960203/","12676","Solvia ofrece Piso de 53 m² a la venta en Mejorada del Campo (Madrid). Localizada en el casco urbano, esta vivienda ofrece fácil incorporación por carretera a la R-3 entre otras, llegando a ella en menos de 4 minutos en coche. Caminando menos de 4 minutos se alcanzan varias paradas de autobús, que conectan con las líneas 282, 340 y N203. En los alrededores se pueden encontrar todos los servicios necesarios como farmacias, centro de salud, supermercados, centros educativos, locales comerciales, parques, gasolinera, etc. La vivienda, construida en el año 2007, cuenta con una superficie de 53 m² distribuida en 2 dormitorios, 1 cuarto de baño, comedor y cocina. Con los servicios de Solvia podrá encontrar la vivienda que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente.","False","good","False","True","","","","2269.0","flat","","Mejorada del Campo","Piso en Plaza del Primero de Mayo","True","False","False","False","","","False","False","","","","","","","","","",""
