"elementList__propertyCode","elementList__thumbnail","elementList__externalReference","elementList__numPhotos","elementList__floor","elementList__price","elementList__propertyType","elementList__operation","elementList__size","elementList__exterior","elementList__rooms","elementList__bathrooms","elementList__address","elementList__province","elementList__municipality","elementList__district","elementList__country","elementList__latitude","elementList__longitude","elementList__showAddress","elementList__url","elementList__distance","elementList__description","elementList__hasVideo","elementList__status","elementList__newDevelopment","elementList__hasLift","elementList__parkingSpace__hasParkingSpace","elementList__parkingSpace__isParkingSpaceIncludedInPrice","elementList__parkingSpace__parkingSpacePrice","elementList__priceByArea","elementList__detailedType__typology","elementList__detailedType__subTypology","elementList__suggestedTexts__subtitle","elementList__suggestedTexts__title","elementList__hasPlan","elementList__has3DTour","elementList__has360","elementList__hasStaging","elementList__labels__name","elementList__labels__text","elementList__superTopHighlight","elementList__topNewDevelopment","total","totalPages","actualPage","itemsPerPage","numPaginations","summary","alertName","paginable","upperRangePosition","lowerRangePosition"
"99587650","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/e9/20/1048390178.jpg","1606/3761","34","2","234000.0","penthouse","sale","128.0","True","3","2","Velilla de San Antonio","Madrid","Velilla de San Antonio","","es","40.3698313","-3.4857024","False","https://www.idealista.com/inmueble/99587650/","10180","REF. 1606/3761. NO COBRAMOS HONORARIOS AL COMPRADOR. TRATO DIRECTO CON LA PROPIEDAD, TOTAL TRANSPARENCIA. AL FINAL DEL ANUNCIO PUEDE VER NUESTRO TOUR VIRTUAL Y NUESTRO VÍDEO. ""ATENCION ALFA INMOBILIARIA PONE A LA VENTA ESTE MAGNIFICO PISO TIPO DUPLEX EN LA LOCALIDAD DE VELILLA DE SAN ANTONIO"" El inmueble consta de 128m2. En la planta baja nos encontramos una amplia cocina totalmente amueblada, el salón comedor que dispone de 18m2 y un baño completo con plato de ducha. La terraza, a la cual se accede tanto desde el salón como de la cocina, tiene 23m2 y dispone de un trastero para almacenaje.  Accedemos a la 1ª planta donde encontramos 3 estupendos dormitorios todos ellos equipados con armarios empotrados (Doble armario en uno de ellos). A destacar la amplitud de las 3 estancias. También encontramos un baño completo en esta planta. Las ventanas de la vivienda doble ventana de aluminio, suelos de gres en toda la vivienda. Puertas de madera de roble barnizadas, calefacción individual por gas. El inmueble dispone de aparatos de aire acondicionado en el salón y el dormitorio principal y uno de los dormitorios secundarios. ¿NECESITAS AYUDA CON LA HIPOTECA? Nuestro equipo financiero puede conseguir hasta el 100% de financiación. El precio de venta no incluye gastos de escrituración, gestión ni impuestos legales. ""NO DUDES EN LLAMARNOS PARA SOLICITAR MAS INFORMACIÓN SIN COMPROMISO"".","False","good","False","False","","","","1828.0","flat","penthouse","Velilla de San Antonio","Ático","False","False","True","False","","","False","False","1167","24","4","50","0","Comprar","Viviendas en distrito El Mirador - Grillero, Arganda","True","200","150"
"99266987","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/17/92/32/1039207017.jpg","10127","39","7","489000.0","penthouse","sale","238.0","True","2","3","Rivas Futura","Madrid","Rivas-Vaciamadrid","Rivas Futura","es","40.3453645","-3.5212983","False","https://www.idealista.com/inmueble/99266987/","11028","¡Hay oportunidades que solo se presentan una vez en la vida!    EN VENTA ÁTICO EN RIVAS FUTURA, con todas las comodidades a tu alcance, para los que entienden de casas y sólo buscan lo mejor. Una vivienda de 3 habitaciones reconvertidas en 2 muy amplias y luminosas.    Al entrar a la vivienda, lo primero que te recibe es un amplio y luminoso salón-comedor, con una bonita chimenea decorativa y estores térmicos en todas las estancias. El salón tiene salida a la espectacular terraza desde cualquiera de sus puertas de acceso, la cual cuenta con 80 metros cuadrados y rodea toda la vivienda, al ser la única vivienda que hay en el último piso, gozando de intimidad ya que no tienes vecinos.     La terraza principal cuenta con una pérgola bioclimática instalada para disfrutar de la terraza la mayor parte del año y con unas vistas inmejorables por su altura y amplitud.   La cocina es independiente y se accede a través de una puerta corredera, está totalmente amueblada y equipada, cuenta con encimera porcelánica y dos tendederos ambos comunicados entre si, uno de ellos cerrado. Además, dispone de un aseo de cortesía.     El ático cuenta con 2 amplias habitaciones tipo suite que disponen de armarios empotrados y salida a la terraza, contando la habitación de matrimonio con una terraza independiente, de aproximadamente 20m para mayor intimidad. Por si fuera poco, la vivienda cuenta con dos cuartos de baño completos con plato de ducha y espejos anti vaho con auto iluminación led.     ¿Se puede pedir mas? Pues si, el ático dispone 2 plazas de garaje incluidas en el precio y un amplio trastero. Edificio con zonas comunes y jardín, parque infantil y piscina comunitaria... para que vivir en esta casa sea la mejor decisión que has podido tomar para ti y tu familia.     Todo ello ubicado en una inmejorable zona de Rivas Futura, muy cerca de todos los servicios como metro, autobuses, colegios, zona comercial y de ocio.     No dejes pasar la oportunidad, vivir en la casa de tus sueños puede hacerse posible ya.    Sin honorarios al comprador!","False","good","False","True","True","True","","2055.0","flat","penthouse","Rivas Futura, Rivas-Vaciamadrid","Ático","False","False","False","False","luxuryType","Lujo","False","False","","","","","","Viviendas","","","",""
"99309352","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/23/50/c5/1040017496.jpg","05101","66","","455000.0","chalet","sale","205.0","False","4","3","Casco Histórico","Madrid","Rivas-Vaciamadrid","Casco Histórico","es","40.3330712","-3.5116257","False","https://www.idealista.com/inmueble/99309352/","9743","Precioso chalet adosado TOTALMENTE REFORMADO Y CON MUCHAS MEJORAS, en Rivas Pueblo, CERCANO AL METRO (8 min a pie), con BUHARDILLA, SÓTANO y JARDÍN CON BARBACOA DE OBRA Y TRASTERO. 205 m2, 4 dormitorios dobles el principal en suite con baño, 3 baños (2 completos y 1 aseo), salón muy amplio y soleado con salida al porche y al jardín, amplia buhardilla acondicionada y con armarios empotrados. Buenas calidades, suelo de tarima, ventanas con doble climalit y mosquiteras en toda la casa, aire acondicionado, calef. g/n, puertas lacadas en blanco, alarma. Sin gastos de comunidad. Excelente zona muy tranquila y familiar pero con todos los servicios y transportes cerca, tiendas, supermercados, colegios, metro, bus. PARA ENTRAR A VIVIR. Venga a verlo! Le conseguimos la financiación con las mejores condiciones. *Pvp no incluye gastos de notaría, registro ni impuestos-.","True","good","False","","True","True","","2220.0","chalet","terracedHouse","Casco Histórico, Rivas-Vaciamadrid","Chalet adosado","True","False","False","False","","","False","False","","","","","","distrito El Mirador - Grillero, Arganda","","","",""
"98931622","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/84/5a/32/1028290480.jpg","","75","","610000.0","chalet","sale","300.0","False","4","4","acebo s/n","Madrid","Rivas-Vaciamadrid","Rivas Urbanizaciones","es","40.3636332","-3.5303157","True","https://www.idealista.com/inmueble/98931622/","12677","Fantástico chalet pareado en la zona más consolidada y verde de Rivas. Santa Mónica. Con una parcela de 607 m2, tendrás un espacio increíble para eventos y reuniones familiares al aire libre. Lo tiene todo, una piscina enorme, gran jardín, aparcamiento cubierto para dos coches, aparcamiento descubierto con otro acceso para tres coches más, buhardilla y bodega con acceso tanto exterior como interior, una cocina con office espectaculares, 4 habitaciones, 4 baños reformados, salón de 33m2 con chimenea, 2 porches cubiertos orientados al sol de mañana y al de tarde, barbacoa de obra, riego automático, sala de juegos, unas zonas comunes con tenis, padle, fútbol sala, basket y otras dos piscinas de adultos y niños, siendo la de adultos de 25m de largo, perfecta para practicar natación. Aire Acondicionado, ventanas con puente térmico y climalit, chimenea, barbacoa, puerta de garaje automática, fachada impecable, árboles frutales, etc. A 5 minutos caminando del Centro comercial Santa Mónica, Supermercado Plaza y ambulatorio médico, 3 minutos del Colegio Jarama y la escuela infantil Grimm.  Junto a parada de autobuses directos a Conde de Casal. Una vivienda con mil posibilidades y mil formas de disfrutarla todo el año. No dudes en venir a verla con nosotros, no te decepcionará. ¡ Solicita ya una visita!","True","good","False","","True","True","","2033.0","chalet","semidetachedHouse","Rivas Urbanizaciones, Rivas-Vaciamadrid","Chalet pareado en acebo s/n","False","False","False","False","","","False","False","","","","","","Todos los precios","","","",""
"98813490","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e1/00/0c/699041893.jpg","","41","","325000.0","chalet","sale","160.0","False","3","3","Condor, 122","Madrid","Arganda","Los Villares","es","40.3158281","-3.4544736","True","https://www.idealista.com/inmueble/98813490/","4537","Magnífico chalet pareado en la Urbanización los Villares de Arganda del Rey. El Chalet es muy luminoso y agradable, Preparado para meter muebles y entrar a vivir. Cocina amueblada, el resto de la casa sin muebles. Tiene 3 dormitorios, el dormitorio principal tipo suite con baño y amplia terraza Todos los dormitorios exteriores con grandes ventanas En la plata de arriba están los 3 dormitorios y los 2 cuartos de baño completos Planta baja con amplio salón, muy luminoso con chimenea Cocina amueblada de unos 12 metros Aseo Jardín pequeño en la entrada principal de la casa Puerta blindada Garaje para 2 coches Trastero Jardín exterior de 70 metros con barbacoa en la parte posterior del chalet.","False","good","False","","True","True","","2031.0","chalet","semidetachedHouse","Los Villares, Arganda","Chalet pareado en Condor, 122","False","False","False","False","","","False","False","","","","","","Todos los tamaños","","","",""
"98071749","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cb/59/e6/1000012857.jpg","","35","4","370000.0","flat","sale","138.0","True","3","2","Calle Antonio Muñoz Molina, 1","Madrid","Rivas-Vaciamadrid","Rivas Futura","es","40.3461628","-3.5215985","True","https://www.idealista.com/inmueble/98071749/","11089","Amplio y luminoso piso de 138 m2 construidos. Con una distribución inmejorable, este piso cuenta con un recibidor amplio con armarios empotrados.  El salón espacioso y muy luminoso, con 27 m2, dispone de grandes ventanales continuos hasta el suelo, que reciben el sol directo. Está dotado de aire acondicionado. La cocina es grande contigua al salón, tiene espacio suficiente para comer en ella y tiene acceso a un tendedero. El distribuidor de acceso a las habitaciones tiene una puerta de acceso aportando intimidad a las habitaciones.  Tres habitaciones todas ellas son dobles, la principal es en suite con bañera de hidromasaje. Otro baño mas con plato de ducha de hidromasaje.  Las ventanas son de climalit, el aire acondicionado es con bomba de calor/ frio. Se incluye plaza de garaje y trastero. La plaza de garaje es de esquina con pasillo de acceso amplio y de fácil maniobra. La urbanización es de las mejores de la zona, portero 24hr, paddle, piscina, espacio esparcimiento y sala para eventos. En los alrededores tenemos todos los servicios a mano, metro, autobuses y establecimientos, muy buena comunicación con salida rápida a la A3. Si quieres visitarlo, no lo dudes y llámanos!","True","good","False","True","True","True","","2681.0","flat","","Rivas Futura, Rivas-Vaciamadrid","Piso en Calle Antonio Muñoz Molina, 1","False","False","False","False","","","False","False","","","","","","","","","",""
"99555217","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b9/b8/00/1047378459.jpg","2216/13","15","4","136000.0","flat","sale","51.0","True","1","1","Avenida de Atenas","Madrid","Arganda","Centro","es","40.2992222","-3.4552182","False","https://www.idealista.com/inmueble/99555217/","4387","Ref. 2216/13. No cobramos honorarios al comprador. Trato directo con la propiedad, total transparencia. Se vende estupendo apartamento semi amueblado, exterior, muy luminoso, en muy buen estado. Muy cercano al hospital universitario del sureste. Calefacción gas natural, doble cristal de climlit en las ventanas, se distribuye en hall que da paso a la cocina totalmente equipada y amueblada con electrodomésticos de muy buena calidad y certificación a++++ de máxima eficiencia amplio salon independiente con gran ventanal. Cuenta con un dormitorio amplio y en el pasillo tiene un armario empotrado de gran tamaño que ocupa la extensión del mismo. Cuarto de baño con recientes mejoras ascensor plaza de garaje y trastero incuidos en el precio! . Aire acondicionado nuevo marca mistsubishi puerta doble acorazada. Todos los servicios cerca, buena comunicación con a3, y cercano al metro de arganda. Tambien ideal como inversión.","False","good","False","True","True","True","","2667.0","flat","","Centro, Arganda","Piso en Avenida de Atenas","False","False","False","False","apartamentoType","Apartamento","False","False","","","","","","","","","",""
"99398928","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/06/ff/2a/1042647856.jpg","","59","","690000.0","chalet","sale","300.0","False","5","4","AZAHAR","Madrid","Rivas-Vaciamadrid","Rivas Urbanizaciones","es","40.3605249","-3.5347881","False","https://www.idealista.com/inmueble/99398928/","12824","Magnífico chalet pareado en la mejor zona de Rivas, Santa Mónica. Totalmente reformado, listo para reestrenarlo. Distribuido en 4 plantas de la siguiente forma: Planta sótano con parking para dos coches, baño, gimnasio, lavandería, trastero, despensa y leñera. Planta baja con aseo, habitación anexa a salón habilitada para juegos, cocina y salón con terraza. Planta alta con 3 dormitorios y 2 baños completos con ducha y bañera. La habitación principal tiene el baño en suite y terraza privada. Planta buhardilla diáfana con zona dormitorio. Tiene una terraza ático desde la que ver espectaculares atardeceres. A tener en cuenta: -Chalet totalmente reformado con estándares de calidad altísimos. -Persianas de planta baja y planta alta eléctricas Con mandos a distancia en planta baja y pulsadores en planta alta. -Planta baja en concepto abierto con cocina, salón y zona de juegos comunicados. -Cocina con gran isla con fregadero, armarios de alta capacidad, encimera en piedra con ""cooking -surface"" (inducción incorporada en la propia piedra) y campana extractora de diseño -Aire acondicionado con bomba de calor por conductos en toda la casa. -Armarios de ebanistería vestidos, puertas con freno e iluminación led automática. -Ventanas y puertas de terrazas oscilo batientes. -Iluminación led directa y de ambiente en todo el inmueble. -Gran parcela con 2 porches exteriores cubiertos, uno de ellos con cine, el otro dispone de barbacoa ancha de obra y mesa comedor en piedra. -Zona de baño exclusiva, con piscina de diseño con jacuzzi, cascada y fuente de agua a presión. Con 3 bombas de agua, salina y ducha solar (agua caliente). -Garaje cubierto con capacidad para 2 coches con cargador eléctrico, y posibilidad de otro más en rampa de acceso. Ambas puertas automáticas. -547 m2 de parcela con césped artificial y natural, con árboles frutales y vegetación perimetral. UNA CASA PARA DISFRUTAR TODO EL AÑO, LISTA PARA ENTRAR A VIVIR Y SOÑAR. NO DUDES EN VISITARLA CON NOSOTROS. FINACIAMOS HASTA EL 100% DE LA COMPRA, consulta condiciones.","True","good","False","","True","True","","2300.0","chalet","semidetachedHouse","Rivas Urbanizaciones, Rivas-Vaciamadrid","Chalet pareado en AZAHAR","False","False","False","False","","","False","False","","","","","","","","","",""
"98531303","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b7/d2/cf/1015428362.jpg","352","60","","150000.0","chalet","sale","150.0","False","6","2","Camino de Tielmes","Madrid","Campo Real","","es","40.2754437","-3.3466035","False","https://www.idealista.com/inmueble/98531303/","5726","DP2020 vende fantástica casa en la localidad de Carabaña, comunidad de Madrid, a solamente 45 km por la A3, dirección Valencia.    La vivienda esta distribuido en seis dormitorios, con dos cocinas, dos baños, dos salones grandes, con entradas separadas ideal para compartir con los hijos o familiares. suelos de gres, calefacción de gasoil, puertas de madera ventanas de aluminio.    La vivienda necesita algo de reforma.              La inmobiliaria de las familias exigentes  Encuentra más en.","False","renew","False","","","","","1000.0","chalet","independantHouse","Campo Real","Casa independiente en Camino de Tielmes","False","False","False","False","","","False","False","","","","","","","","","",""
"97694685","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cd/54/f3/1045317756.jpg","","54","","599000.0","chalet","sale","255.0","False","4","2","zarzuela","Madrid","Rivas-Vaciamadrid","Rivas Urbanizaciones","es","40.3647689","-3.5411382","False","https://www.idealista.com/inmueble/97694685/","13526","Estupendo chalet de 255 m2, construido en parcela de 336m2, a escasos 5 minutos andando del metro de Rivas Urbanizaciones. Una parcela delantera solada amplia nos da la bienvenida, con plantas ornamentales y acceso a garaje cerrado para dos coches. Con espacio exterior para otro vehículo.  Entrada con armario bajo escalera, muy aprovechable.  La cocina luminosa contigua al salón, con espacio para poder comer y un tendedero destinado actualmente a zona de lavandería. El salón amplio y luminoso tiene bien separadas zonas de comedor y de estar. Tiene chimenea con cassette incorporado. Amplios ventanales y acceso a un acogedor porche revestido en madera y con acceso a jardín trasero. Esta estancia es muy funcional, ya que su orientación (este) te permite aprovecharla durante todo el año. Baño completo, exterior, con plato de ducha en esta planta. La escalera de subida a los dormitorios tiene mucha luz natural y está vestida en madera maciza. En la primera planta disponemos de 3 habitaciones, la principal fue ampliada y tiene un estupendo vestidor. Todas las habitaciones están equipadas con su propio Aire Acondicionado.  Otro baño más en esta planta, totalmente reformado, con doble seno y amplio plato de ducha con luz natural (también exterior). Subimos por escalera abierta con peldaños en madera maciza a una cuarta habitación de 30m2, situada en la buhardilla, actualmente está destinada a despacho y gimnasio. Se puede destinar a habitación ya que tiene un tamaño de 30m2. Está equipada con Aire Acondicionado y radiadores de aluminio. Tiene posibilidad de hacer baño completo. El jardín trasero tiene un precioso cenador con unas bonitas vistas a la piscina y a una zona ajardinada, con flores de temporada.  Dispone de cesped artificial de gran calidad y una piscina espectacular de 23m2. Luz de ambiente en toda la parcela. La piscina, tiene jacuzzi incorporado con dos sistemas de impulsión, funda térmica motorizada, clorador salino, regulador automático de ph, agua climatizada mediante bomba de calor y luz Led integrada.  Cuarto de depuradora hecho de obra en superficie.  A tener en cuenta: Carpintería maciza blanca en puertas. Molduras de escayola decorativa en techos. Radiadores de aluminio, mosquiteras y pintura lisa en toda la casa. Aire Acondicionado en primera y segunda planta. Piscina salina con jacuzzi integrado, iluminada en LED, totalmente automatizada. Barbacoa de obra, porche en madera maciza y balaustrada decorativa. Doble puerta automática delantera, para entrada a parcela y garaje. Suelos en primeras calidades. Totalmente reformado y para entrar a vivir. Acceso a zona común de 5000 m2 con parque infantil y campo de futbol de hierva, ideal para que los niños salgan a jugar con toda tranquilidad ya que es un recinto cerrado.","True","good","False","","True","True","","2349.0","chalet","terracedHouse","Rivas Urbanizaciones, Rivas-Vaciamadrid","Chalet adosado en zarzuela","False","False","False","False","","","False","False","","","","","","","","","",""
