"elementList__propertyCode","elementList__thumbnail","elementList__externalReference","elementList__numPhotos","elementList__floor","elementList__price","elementList__propertyType","elementList__operation","elementList__size","elementList__exterior","elementList__rooms","elementList__bathrooms","elementList__address","elementList__province","elementList__municipality","elementList__district","elementList__country","elementList__latitude","elementList__longitude","elementList__showAddress","elementList__url","elementList__distance","elementList__description","elementList__hasVideo","elementList__status","elementList__newDevelopment","elementList__hasLift","elementList__parkingSpace__hasParkingSpace","elementList__parkingSpace__isParkingSpaceIncludedInPrice","elementList__priceByArea","elementList__detailedType__typology","elementList__detailedType__subTypology","elementList__suggestedTexts__subtitle","elementList__suggestedTexts__title","elementList__hasPlan","elementList__has3DTour","elementList__has360","elementList__hasStaging","elementList__labels__name","elementList__labels__text","elementList__topNewDevelopment","elementList__superTopHighlight","total","totalPages","actualPage","itemsPerPage","numPaginations","summary","alertName","lowerRangePosition","upperRangePosition","paginable"
"99341620","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1d/26/aa/1040831394.jpg","RP482022106016","50","","499000.0","chalet","sale","238.0","False","4","3","Casco Histórico","Madrid","Rivas-Vaciamadrid","Casco Histórico","es","40.3310376","-3.5087397","False","https://www.idealista.com/inmueble/99341620/","9437","Chalet pareado de 238m² construidos con una parcela de 390m² ubicado en la mejor zona de Rivas Pueblo, cercano a estación de metro de Rivas-Vacamadrid, supermercados, bares, farmacias, bancos, colegios (IES Profesor Julio Perez, CEIP Las Cigüeñas), Polideportivo Público Parque del Sureste, rodeado de zonas verdes, Laguna del Campillo, etc La vivienda consta de:  Primera Planta con porche acristalado, hall recibidor, luminosa cocina amueblada, habitación en planta, aseo y amplio salón comedor de 40m² con chimenea y con acceso a patio trasero de 120m² con piscina.  Subiendo las escaleras encontramos la segunda planta con 3 dormitorios y 2 baños (1 de ellos suite con bañera y el otro con plato de ducha). Primeras calidades: suelos de gres y tarima, paredes lisas, doble ventanas de aluminio correderas y puertas de roble  Además cuenta con 1 plaza de garaje cerrada. Podemos conseguir la mejor financiación con nuestro departamento financiero Dcredit!  Visítelo sin compromiso!","False","good","False","","True","True","2097.0","chalet","semidetachedHouse","Casco Histórico, Rivas-Vaciamadrid","Chalet pareado","False","False","False","False","","","False","False","1168","24","5","50","0","Comprar","Viviendas en distrito El Mirador - Grillero, Arganda","200","250","True"
"99271116","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/97/89/40/1038720330.jpg","CG-70616-0001","22","","260000.0","chalet","sale","188.0","False","5","3","Calle Atenas","Madrid","Loeches","","es","40.3910416","-3.4179507","False","https://www.idealista.com/inmueble/99271116/","9872","Solvia ofrece bonito Chalet adosado situado en la localidad de Loeches. Cuenta con una superficie de 188 m² distribuidos en 2 plantas, con vestíbulo, distribuidor, salón, cocina, 5 dormitorios y 3 baños. La vivienda dispone de cocina amueblada, chimenea en el salón, terraza, ventanas de aluminio, cristal doble de climalit y garaje. Con los servicios de Solvia podrá encontrar la vivienda que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente.","False","good","False","","True","True","1383.0","chalet","terracedHouse","Loeches","Chalet adosado en Calle Atenas","False","False","False","False","","","False","False","","","","","","Viviendas","","","",""
"99246124","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8f/b2/3e/1037737531.jpg","1606/3522","28","2","209950.0","duplex","sale","202.0","False","5","3","Mejorada del Campo","Madrid","Mejorada del Campo","","es","40.3997257","-3.4856143","False","https://www.idealista.com/inmueble/99246124/","12807","REF. 1606/3522. NO COBRAMOS HONORARIOS AL COMPRADOR. TRATO DIRECTO CON LA PROPIEDAD, TOTAL TRANSPARENCIA. AL FINAL DEL ANUNCIO PUEDE VER NUESTRO TOUR VIRTUAL Y NUESTRO VDEO. ""ATENCION ALFA INMOBILIARIA PONE A LA VENTA ESTE MAGNIFICO PISO TIPO DUPLEX EN LA LOCALIDAD DE MEJORADA DEL CAMPO"" La vivienda consta de 202m2 construidos distribuidos en dos plantas En la planta baja nos encontramos una amplia cocina amueblada con acceso a la planta superior, salón comedor, dos dormitorios (uno de ellos con baño en suite) y un baño completo para dar servicio al dormitorio secundario. Accedemos a la 1ª planta por una cómoda escalera ubicada en la cocina donde dispone de 3 estupendos dormitorios todos ellos equipados con armarios empotrados. También nos encontramos con un baño completo para dar servicio a los dormitorios. Las ventanas de la vivienda doble ventana de aluminio, suelos de tarima en la planta principal y de gres en la planta superior. Puertas de madera de roble barnizadas, calefacción electrica. El inmueble dispone de aparatos de aire acondicionado en el salón y el dormitorio principal y, además, tiene la pre instalación hecha en la planta superior. Plaza de garaje y trastero incluido en el precio. ¿NECESITAS AYUDA CON LA HIPOTECA? Nuestro equipo financiero puede conseguir hasta el 100% de financiación. El precio de venta no incluye gastos de escrituración, gestión ni impuestos legales. ""NO DUDES EN LLAMARNOS PARA SOLICITAR MAS INFORMACIÓN SIN COMPROMISO"".","False","good","False","False","True","True","1039.0","flat","duplex","Mejorada del Campo","Dúplex","False","False","True","False","","","False","False","","","","","","distrito El Mirador - Grillero, Arganda","","","",""
"98976841","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b3/72/54/1033238487.jpg","CG-59142-0001","26","","231000.0","chalet","sale","289.0","False","3","2","Rotonda Westfalia","Madrid","Eurovillas","","es","40.3435417","-3.265379","False","https://www.idealista.com/inmueble/98976841/","12566","Solvia ofrece Chalet independiente situado en el municipio de Villar del Olmo, municipio situado al este de la Comunidad de Madrid, en la Comarca de Las Vegas. Cuenta con una superficie de 217 m² distribuidos en 3 dormitorios, 2 baños, 1 cochera, 1 amplio jardín con barbacoa de fábrica y piscina privada. La vivienda se encuentra ubicada en una zona tranquila a menos de media hora de Madrid. En definitiva, una solución competitiva para cualquier modelo de familia, que podrá desarrollarse en plenitud dentro de un entorno social que goza de las comodidades de una gran ciudad, pero llevadas a un ritmo al margen del estrés. Con los servicios de Solvia podrá encontrar la vivienda que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente.","False","good","False","","True","True","799.0","chalet","","Eurovillas","Chalet en Rotonda Westfalia","False","False","False","False","","","False","False","","","","","","Todos los precios","","","",""
"98679695","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/74/8f/1d/1027467623.jpg","14962","20","1","149000.0","flat","sale","89.0","True","3","1","JUAN XXIII, 22","Madrid","Arganda","Centro","es","40.2990905","-3.4384395","True","https://www.idealista.com/inmueble/98679695/","2975","Piso en venta en zona centro de Arganda del Rey distribuidos en 89 m² construidos y 74 m² útiles muy luminoso. Consta de 3 amplios dormitorios, 1 baño con plato de ducha, la cocina totalmente equipada con muebles altos y bajos, placa, horno, extractor, amplio salón con acceso a la terraza. Piso muy céntrico a 200 m² de la plaza del pueblo con todos los servicios, supermercados colegios guarderías, bus en la puerta, a 7 minutos del metro andando línea 9. No dejes de visitarlo! Tenemos empresa de servicios financieros por si lo necesitas. *Certificación Energética: ""F"" *Impuestos y gastos NO INCLUIDOS: ITP o IVA, notaría, registro, gestoría, tasación, etc.","False","good","False","False","","","1674.0","flat","","Centro, Arganda","Piso en JUAN XXIII, 22","False","False","False","False","","","False","False","","","","","","Todos los tamaños","","","",""
"98535784","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/55/5d/7c/1039938587.jpg","1906/245","54","1","119000.0","flat","sale","91.0","True","3","2","Tielmes","Madrid","Tielmes","","es","40.2339343","-3.3016816","False","https://www.idealista.com/inmueble/98535784/","11565","REF. 1906/245. VENDE EN EXCLUSIVA! EN PERFECTO ESTADO PARA ENTRAR A VIVIR Piso en Tielmes de 90m. 3 dormitorios. 2 baños Garaje Trastero de 25m. 160m construidos totales incluyendo zonas comunes. El piso se distribuye en hall de entrada con armario empotrado. Salón independiente con salida a balcón. Cocina independiente amueblada con horno, campana y placa vitrocerámica. Baño con ducha. 3 dormitorios todos con armario empotrado, dormitorio principal con baño en suite con bañera y balcón. Suelos de tarima. y suelo vinílico en la cocina. Ventanas de aluminio climalit con mosquiteras. Puertas de madera. Paredes lisas. Calefacción eléctrica. Todas las estancias están preparadas para poner aire acondicionado. Portal adaptado para personas con movilidad reducida. Comunidad 50€ mensuales. IBI 360€ anuales. Llámanos estaremos encantados de atenderte. TE AYUDAMOS CON LA FINANCIACIÓN. Impuestos y gastos no incluidos.","False","good","False","True","True","True","1308.0","flat","","Tielmes","Piso","False","False","False","False","","","False","False","","","","","","","","","",""
"98260763","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2a/1b/1e/1005904005.jpg","LRS_0005190","23","","299000.0","chalet","sale","197.0","False","3","2","Loeches","Madrid","Loeches","","es","40.3838565","-3.4160448","False","https://www.idealista.com/inmueble/98260763/","9059","LemonLine te presenta este pareado de 197m²* construidas útiles a 8 minutos del Ayuntamiento. ¡Y sin coste de intermediación inmobiliaria para el comprador! La planta principal, de 59m², consta de un luminoso salón-comedor con acceso a una gran terraza, una amplia cocina y un aseo de dos piezas. También encontramos un porche en la entrada y un garaje privado.  En la primera planta, de 77m², tenemos dos habitaciones dobles (una en suite) más una individual muy espaciosa y un baño de 3 piezas equipado con bañera. Subiendo las escaleras tenemos la última planta, con una buhardilla 44m², en la cual encontramos otra habitación doble con su propio baño.  Características: - Exterior - Soleado - Calefacción de gas por radiadores - Aire acondicionado - Ventilación por conductos - Armarios empotrados - Tragaluces - Mobiliario no incluido - Terraza - Porche - Garaje privado de 17m² - Casa del 2010 - 3 plantas - Buhardilla de 70m2. - 150m² de parcela - 197m² construidos La vivienda se encuentra a escasos minutos caminando de todos los servicios necesarios en nuestro día a día. Acceso a M217, M-206, M-219, M-300. Líneas de autobús más próximas: 261, 280, 284 Si tienes cualquier duda o pregunta o quieres programar una visita, ¡no dudes en ponerte en contacto con nosotros! Si necesitas financiación, nuestro departamento financiero LemonLine Hipotecas obtiene **hasta el 100% gracias nuestros únicos acuerdos de colaboración con las entidades bancarias. *El precio ofertado de este inmueble no incluye el mobiliario interno de la vivienda. La superficie del inmueble ha sido facilitada por el vendedor, consultada en la Sede Electrónica de Catastro o Registro de la Propiedad, pudiendo haber alguna variación con la superficie real. Les comunicamos que en el precio ofertado de venta, no están incluidos los gastos de compraventa: notariales, registrales, gestoría, ITP (Impuesto de Transmisiones Patrimoniales) y/o gastos bancarios que pudieran generarse. **La obtención de la financiación está sujeta a las condiciones de la entidad financiera y tendrá en cuenta el perfil y solvencia del cliente.  Consulta nuestra web para leer el Aviso Legal sobre la descripción de este inmueble.","True","good","False","","True","True","1518.0","chalet","independantHouse","Loeches","Casa independiente","False","False","False","False","","","False","False","","","","","","","","","",""
"98259756","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2e/03/15/1024664877.jpg","REMO-00720","16","3","214500.0","flat","sale","94.0","False","2","1","Calle Cóndor","Madrid","Arganda","Los Villares","es","40.3149387","-3.4540636","False","https://www.idealista.com/inmueble/98259756/","4473","En PortalNow te ayudamos a cuidar tu negocio. Instalación y 1 año de ALARMA GRATIS con Securitas Direc¿Quieres comprar Local Comercial en Daganzo de Arriba? Excelente oportunidad de adquirir en propiedad este Local Comercial con una superficie de 117 m² ubicado en la localidad de Daganzo de Arriba, provincia de Madrid. Dispone de buenos accesos y está bien comunicada. ¿Quieres más información? No dudes en ponerte en contacto con nosotros. Visita sin compromiso, sin comisiones de intermediación. Más información rellenando el formulario de contacto o por teléfono. Estaremos encantados de atenderte. Portal es una plataforma inmobiliaria donde podrás acceder a miles de activos inmobiliarios de diferentes tipos como viviendas, locales comerciales, terrenos, nueva obra.. . tanto a nivel particular como para inversores. Portal cuenta con una amplia cartera de activos inmuebles tanto en España como en Portugal y Grecia.","False","renew","False","True","True","True","2282.0","flat","","Los Villares, Arganda","Piso en Calle Cóndor","False","False","False","False","","","False","False","","","","","","","","","",""
"99442314","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/66/8c/1044131380.jpg","","50","2","280000.0","flat","sale","120.0","True","3","2","Avenida de José Hierro","Madrid","Rivas-Vaciamadrid","Rivas Urbanizaciones","es","40.3557205","-3.5396596","False","https://www.idealista.com/inmueble/99442314/","12932","LA PETITE MAISON vende esta fantástica vivienda de 99 m2 con una distribución inmejorable. El piso se compone de salón comedor, terraza, cocina, dos cuartos de baño completos y 3 habitaciones. Se incluye también trastero y plaza de garaje Un hall de entrada nos da la bienvenida y está dotado de un armario ideal para cuando llegamos de la calle, hecho a medida.   De frente encontramos un salón comedor amplio y luminoso, gracias a su orientación Este, (sol de mañana directo) con ambas zonas diferenciadas, zona de estar y zona de comedor. Tiene aire acondicionado, un mueble de obra de escayola, y salida a una terraza acristalada, con vistas a la urbanización. La cocina es amplia y dispone de espacio para poder comer en ella, con acceso a un practico tendedero. El tendedero está acristalado. Las 3 habitaciones tienen armarios empotrados y la principal es en suite con bañera. Otro baño más con plato de ducha. Destacar también que, las ventanas de la terraza son de climalit oscilobatientes y todos los armarios están vestidos hay dos aparatos de aire acondicionado, estancias grandes salón y cocina, suelos de parquet y gres, sistema de seguridad en ventanas de dormitorios.  Plaza de garaje con gran espacio de maniobra y trastero en planta calle. Hay un parking comunitario con disponibilidad horaria de uso y disfrute para todos los vecinos. La urbanización d cuenta con parque infantil, espacio de esparcimiento y ocio, ideal para familias. La ubicación es excelente, al lado de la salida a la A3, y líneas de autobús directas a conde casal. Cerca de parques, a un paso de supermercados, farmacias y establecimientos de varios servicios. Colegios e Institutos.  Si necesitas ampliar información, no te quedes con las dudas y, ¡Llámanos! Y si lo necesitas te ayudaremos a conseguir tu préstamo hipotecario.","True","good","False","True","True","True","2333.0","flat","","Rivas Urbanizaciones, Rivas-Vaciamadrid","Piso en Avenida de José Hierro","False","False","False","False","","","False","False","","","","","","","","","",""
"99283599","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4c/45/2d/1039175462.jpg","","22","bj","259900.0","duplex","sale","126.0","True","4","2","Afrodita","Madrid","Rivas-Vaciamadrid","Covibar - Pablo Iglesias","es","40.3547673","-3.5487866","False","https://www.idealista.com/inmueble/99283599/","13581","La Petite Maison vende dúplex a REFORMAR en la urbanización Pablo Iglesias.  Este dúplex cuenta con 126 metros construidos y con un patio de 20m2 con unas estupendas vistas despejadas a un parque lineal.  La distribución es inmejorable, en la planta baja cuenta con cocina, comedor y salón en distintas altura. El salón de 25 m2 (ampliado) tiene persianas eléctricas de seguridad y dos grandes ventanales continuos de techo a suelo para dar luz a la estancia. En esta planta tenemos un aseo de cortesía, ideal para que los invitados no invadan las zonas mas privadas de la casa. El patio totalmente solado y con jardineras laterales cuenta con acceso desde el salón tiene puntos de agua y luz. En la planta alta tenemos cuatro habitaciones, un trastero doble y un baño completo. Tiene muchas posibilidades, consulta nuestro dpto de arquitectura y construcción para realizar un presupuesto a medida. La urbanización cuenta con calles peatonales, zonas ajardinadas, parques infantiles y servicios a mano. La piscina comunitaria es de las mas grandes de la zona, y es solo para residentes e invitados, tiene zona de sombraje y cuenta con una piscina adicional para los mas peques. Esta totalmente adaptada a personas con movilidad reducida, cuenta con un restaurante y terraza con vistas a la piscina. Vestuarios y baños. Colegio la escuela y colegio El Parque a escasos 50 m2. Guarderías y muchos parques entre ellos el parque Montarco y parque Lineal con mucha zona de esparcimiento, pistas deportivas y parques infantiles. Polideportivo Cerro del telégrafo a 5 min. Supermercados, servicios de primera necesidad y colegios a escasos metros Fácil y rápido acceso a A·3 y M·50, con líneas de autobús directas a conde casal y a 10 min andando del metro de Rivas Urbanizaciones. Si quieres visitarlo, no dude en contactarnos!","True","renew","False","False","","","2063.0","flat","duplex","Covibar - Pablo Iglesias, Rivas-Vaciamadrid","Dúplex en Afrodita","False","False","False","False","","","False","False","","","","","","","","","",""
