"elementList__propertyCode","elementList__thumbnail","elementList__externalReference","elementList__numPhotos","elementList__floor","elementList__price","elementList__propertyType","elementList__operation","elementList__size","elementList__exterior","elementList__rooms","elementList__bathrooms","elementList__address","elementList__province","elementList__municipality","elementList__district","elementList__country","elementList__latitude","elementList__longitude","elementList__showAddress","elementList__url","elementList__distance","elementList__description","elementList__hasVideo","elementList__status","elementList__newDevelopment","elementList__hasLift","elementList__parkingSpace__hasParkingSpace","elementList__parkingSpace__isParkingSpaceIncludedInPrice","elementList__parkingSpace__parkingSpacePrice","elementList__newDevelopmentFinished","elementList__priceByArea","elementList__detailedType__typology","elementList__detailedType__subTypology","elementList__suggestedTexts__subtitle","elementList__suggestedTexts__title","elementList__hasPlan","elementList__has3DTour","elementList__has360","elementList__hasStaging","elementList__labels__name","elementList__labels__text","elementList__topNewDevelopment","elementList__superTopHighlight","total","totalPages","actualPage","itemsPerPage","numPaginations","summary","alertName","lowerRangePosition","upperRangePosition","paginable"
"97793657","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/35/71/b7/990660398.jpg","EG5354","69","","489000.0","chalet","sale","286.0","False","5","3","Torres de la Alameda","Madrid","Torres de la Alameda","","es","40.4023152","-3.3665011","False","https://www.idealista.com/inmueble/97793657/","11492","No encontrarás otra vivienda igual a este espectacular pareado con piscina privada en la mejor zona de Torres de la Alameda.  Se trata de un inmueble hecho a capricho, con las mejores calidades posibles.  Cuenta con sótano con cabida para tres vehículos, y puerta automática de acceso, y cuarto de caldera. con diversidad de usos además del de garaje, como taller, bodega, etc  Accedemos a la vivienda a través un porche acristalado que nos lleva a la entrada principal. Al entrar ya se percibe lo excepcional de la casa, con hueco de escalera abierto, donde se disfruta de la espectacular barandilla de madera bubinga, madera de gran calidad, resistente y muy decorativa, tallada a mano y con escalones macizos por los que accedemos tanto a plantas superiores como al sótano.   Todas las puertas son de esta misma excepcional madera.  Podremos disfrutar en esta planta baja de un gran salón independiente, una habitación, un baño con plato de ducha y una cocina recién reformada con electrodomésticos básicos y acceso a porche trasero y piscina.  En primera planta encontramos 3 habitaciones dobles con armarios empotrados y habitación en suite con soleada terraza, vestidor y baño.  En la parte superior de la vivienda y como colofón a este exclusivo inmueble, gran buhardilla ( Sin Acondicionar) con dos estupendas terrazas con vistas espectaculares una de ellas.  Las calidades de construcción son inmejorables. escaleras, puertas y armarios empotrados de la anteriormente citada madera, en pta baja, suelo cerámico estilo rústico de calidad superior y en primera planta tarima de MADERA maciza. Ventanas de Climalit dobles con cristales blindados en planta baja.  Aire Acondicionado en salón, Pintura lisa, calefacción y agua caliente por gas.  Solo te queda para terminar de enamorarte visitarla y admirar su estilo, estado impecable y sus soleados y amplios espacios.  Los metros indicados están tomados de catastro y/o registro.  En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.      .","False","good","False","","True","True","","","1710.0","chalet","","Torres de la Alameda","Chalet","False","True","False","False","","","False","False","1168","24","9","50","0","Comprar","Viviendas en distrito El Mirador - Grillero, Arganda","400","450","True"
"97777403","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/50/7b/ef/990061868.jpg","EG5352","59","","69990.0","chalet","sale","92.0","False","2","2","Torres de la Alameda","Madrid","Torres de la Alameda","","es","40.4046113","-3.3622454","False","https://www.idealista.com/inmueble/97777403/","11840","Ofrecemos una vivienda en una sola planta de 74 metros con un pequeño patio de 18 metros, para reformar íntegramente, en el centro de Torres de la alameda. El inmueble consta de diferentes estancias, como cocina, despensa y salón, habitación, pasillo  desde donde se accede al patio, que en la actualidad esta ocupado por una bajada techada a una cueva natural, impracticable en la actualidad, (y de dimensiones limitadas por la finca anexa. ), además de dos aseos (fué acondicionada para autoescuela) y pequeño recibidor.  Las posibilidades son enormes, ya que la vivienda es de esquina y rodea al patio antes mencionado, por lo que las habitaciones y demás espacios tendrían una orientación estupenda y mucha luz.  También existe la posibilidad de derribo para construcción de una vivienda de dos plantas, ya que el solar resultante permitiría una vivienda de aprox. 160 metros construidos, justo al lado de todos los servicios y del centro  Hace esquina con una plaza donde el aparcamiento esta asegurado. Zona tranquila.  Cuenta con suelos cerámicos, ventanas de aluminio, termo electrico e instalacion de tuberias para calefacción, aunque en la actualidad no tiene ni caldera ni radiadores.  Si quieres echar a volar tu imaginación y restaurar o construir la casa de tus sueños, no te lo pienses. Aprovecha esta Ocasión  Torres de la alameda es una de las poblaciones mejor comunicadas y con mas servicios en los alrededores del corredor del Henares, además de la mas demandada para residir a pocos minutos de Alcala de henares y Torrejon de Ardoz.  Los metros indicados son los que constan en catastro y/o registro  En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.","False","renew","False","","","","","","761.0","chalet","","Torres de la Alameda","Chalet","False","False","False","False","","","False","False","","","","","","Viviendas","","","",""
"97873035","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/90/b5/c1/993645606.jpg","","22","","364900.0","chalet","sale","273.0","False","4","3","Avenida del olivar, 22","Madrid","Loeches","","es","40.3890369","-3.4101658","True","https://www.idealista.com/obra-nueva/97873035/","9590","Las Cimas de Loeches es una nueva promoción de vivienda libre compuesta por 10 unifamiliares pareados de diseños en la mejor zona de Loeches, con fabulosas parcelas privadas de 510 m2. Viviendas de 4 dormitorios, sala de estar, 3 cuartos de baño completos y trastero construidas en 2 plantas con 2 grandes porches en ambas orientaciones de la casa y 2 plazas de aparcamiento. El proyecto se ha diseñado buscando la mejor orientación de las viviendas, de manera que se puedas tener la mejor orientación en cada una de las estancias, aunando el confort de conseguir la mejor luminosidad junto a la tranquilidad más absoluta. Construcción de gran calidad consiguiendo una Certificación Energética A gracias a los materiales empleados, así como unos bajos costes y altos niveles de bienestar derivados de los equipos de aerotermia que producen agua caliente sanitaria, calefacción y refrigeración, a través del suelo radiante/refrescante tanto en invierno como en verano. En una ubicación privilegiada, próximo a los municipios de Torrejón de Ardoz, Alcalá de Henares, Arganda del Rey y a 20 minutos de Madrid. Se trata de una localidad que posee todos los servicios necesarios: supermercados, centros educativos, de salud, deportivos, parques y una gran oferta de ocio.","False","newdevelopment","True","","True","True","","False","1337.0","chalet","semidetachedHouse","Loeches","Chalet pareado en Avenida del olivar, 22","True","False","False","False","","","False","False","","","","","","distrito El Mirador - Grillero, Arganda","","","",""
"98632009","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/79/fd/1018634946.jpg","11595-2025","8","3","117000.0","flat","sale","83.0","True","3","1","Calle Misericordia","Madrid","Arganda","Centro","es","40.302613","-3.4431878","False","https://www.idealista.com/inmueble/98632009/","3347","¡ Oportunidad! Amplio y luminoso piso de 83 m² distribuidos en salón-comedor, tres dormitorios, cocina independiente, cuarto de baño, terraza y vestíbulo. Cuenta con suelos de gres, ventanas de aluminio.. . Precisa pequeñas actualizaciones para entrar a vivir pero ofrece muchas posibilidades. Ideal para familias. Es una 3ª Planta en un bloque sin ascensor. Buenas comunicaciones por carretera y transporte público. A cinco minutos de la estación de Metro 'Arganda del Rey' y junto a varias paradas de autobús. Próximo a todo tipo de servicios e infraestructuras como centros educativos (CEIP Ntra. Sra. de la Milagrosa), comercios, centros comerciales, supermercados, farmacias, restaurantes, zonas verdes...","False","good","False","False","","","","","1410.0","flat","","Centro, Arganda","Piso en Calle Misericordia","False","False","False","False","","","False","False","","","","","","Todos los precios","","","",""
"99419240","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/92/be/b6/1043313847.jpg","MN5-4670","24","","690000.0","chalet","sale","300.0","False","5","4","Calle DEL AZAHAR","Madrid","Rivas-Vaciamadrid","Rivas Urbanizaciones","es","40.3614526","-3.5379958","False","https://www.idealista.com/inmueble/99419240/","13111","Magnífico chalet pareado de 4 plantas, 5 habitaciones y 4 baños, en Rivas. 300 m2 construidos. 270 m2 útiles. Orientación Sur - Oeste. Parcela de 350 m2. Salón de 28 n2. Cocina americana con office. Calefacción con gas natural y aire acondicionado. Armarios empotrados, suelo de madera, ventanas oscilobatientes de PVC y puertas lacadas. Piscina y jacuzzi. PLANTA 0 Salón independiente con chimenea, cocina americana, salida a jardín, 1 habitación y 1 aseo. PLANTA 1 3 dormitorios y 1 baño completo. Habitación principal con baño en suite y balcón. PLANTA 2 Buhardilla diáfana de 50 m2 con velux. PLANTA -1 Garaje para 2 vehículos, un baño, un gimnasio, lavandería y caldera de gas. NO PIERDA ESTA OPORTUNIDAD Y CONTACTE CON NOSOTROS PARA REALIZAR UNA VISITA. Daurum Estate ofrece conseguir la mejor financiación a su medida hasta el 100% del valor de compra – venta sea nuestra la vivienda o no. INFORMACIÓN SIN COMPROMISO en el mismo número de teléfono del anuncio. Además, posibilidad de servicio de reformas para acomodar la vivienda a su gusto.","True","good","False","","","","","","2300.0","chalet","semidetachedHouse","Rivas Urbanizaciones, Rivas-Vaciamadrid","Chalet pareado en Calle DEL AZAHAR","False","False","False","False","","","False","False","","","","","","Todos los tamaños","","","",""
"99244863","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/93/53/9a/1037707351.jpg","Poz22","123","","319900.0","chalet","sale","266.0","False","4","3","ROBLE","Madrid","Pozuelo del Rey","","es","40.3657441","-3.3214352","False","https://www.idealista.com/inmueble/99244863/","9870","Vivienda en tres plantas en Pozuelo del Rey, con amplio garaje para varios coches. En la planta baja se encuentra un amplio salón, cocina con despensa, aseo y un despacho.  En la primera planta tenemos cuatro dormitorios, dos de ellos con baño incorporado y un tercer baño en el pasillo. En el bajo cubierta tiene una gran buhardilla con dos ventanas tipo velux. En la planta baja los suelos son de gres y en el resto de la vivienda de tarima. La calefacción es mediante caldera de gasoil.  Ubicada en Pozuelo del Rey, un pequeño municipio de la Comunidad de Madrid a 20 minutos de Alcalá de Henares y de Arganda del Rey. Transporte público Argabús. Linea 261- Colegio, zonas infantiles, supermercado, farmacia.","False","good","False","","","","","","1203.0","chalet","independantHouse","Pozuelo del Rey","Casa independiente en ROBLE","True","False","False","False","","","False","False","","","","","","","","","",""
"97563272","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f7/86/bb/1001083001.jpg","","49","","504900.0","chalet","sale","216.0","False","5","3","sauce, 2","Madrid","Rivas-Vaciamadrid","Rivas Urbanizaciones","es","40.3599311","-3.5421147","True","https://www.idealista.com/inmueble/97563272/","13334","FANTASTICO CHALET INDEPENDIENTE en la mejor zona de Rivas Vaciamadrid, al lado del colegio Luyfe. Chalet en planta con jardín, piscina de 8x4m, barbacoa y barra. Garaje para dos coches Los dormitorios se encuentran en planta calle.  La vivienda consta de 216 m2 sobre una parcela de 525m2. PLANTA 0: Salón 45m en dos alturas con salida al jardín 3 habitaciones (1 en suite) 2 baños completos Cocina amueblada con salida a tendedero y al lateral de la parcela PLANTA -1: Salón comedor con chimenea con luz natural 2 habitaciones Baño completo reformado  Cocina Trastero con bodega BUHARDILLA sin abrir No cobramos honorarios al cliente comprador.","False","renew","False","","True","True","","","2338.0","chalet","independantHouse","Rivas Urbanizaciones, Rivas-Vaciamadrid","Casa independiente en sauce, 2","True","False","False","False","villaType","Villa","False","False","","","","","","","","","",""
"99606213","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/60/67/31/1049030901.jpg","73016720","11","2","130300.0","flat","sale","80.0","False","2","3","Calle Virgen de la Oliva, 29","Madrid","Valdilecha","","es","40.2972794","-3.3036453","True","https://www.idealista.com/inmueble/99606213/","8508","","False","good","False","True","True","True","","","1629.0","flat","","Valdilecha","Piso en Calle Virgen de la Oliva, 29","False","False","False","False","","","False","False","","","","","","","","","",""
"99590810","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b2/e2/f5/1048498212.jpg","","26","","249000.0","chalet","sale","222.0","False","5","4","Avenida europa, 17","Madrid","Mejorada del Campo","","es","40.3983292","-3.4814227","True","https://www.idealista.com/inmueble/99590810/","12486","OPORTUNIDAD EN MEJORADA DEL CAMPO.  Vivienda adosada de 222m2, distribuida en salón-comedor, cocina, 5 habitaciones y 4 baños. Dispone de patio y plaza de garaje.  Se encuentra ubicada en la localidad de Mejorada del Campo (Madrid). Zona que dispone de todos los servicios básicos a su alcance y con muy buena comunicación en carreteras.  Cercano a centros de salud, colegios, centros deportivos y variedad de servicios de restauración.  A 500 metros del Ayuntamiento de Mejorada del Campo.  Zona rodeada de espacios verdes.  Inmueble sujeto a periodo de pujas, solicite más información.","False","good","False","","True","True","","","1122.0","chalet","terracedHouse","Mejorada del Campo","Chalet adosado en Avenida europa, 17","False","False","False","False","","","False","False","","","","","","","","","",""
"99151600","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d7/e5/f6/1035232001.jpg","00935","36","","212000.0","chalet","sale","113.0","False","3","1","Eurovillas","Madrid","Eurovillas","","es","40.3533194","-3.2475636","False","https://www.idealista.com/inmueble/99151600/","14373","Aprovecha la oportunidad de comprar este acogedor chalet a un excelente precio.   Tiene 113 m2 construidos distribuidos entre un porche de entrada acristalado, el salón comedor con chimenea y techos altos abuhardillados, cocina independiente amueblada, 3 habitaciones, 2 de ellas con armarios empotrados y 1 baño.   Parcela de 1022 m2 con parking techado para coches y casa de obra tipo trastero de 20 m2.   Cuenta también con barbacoa y con una plataforma de hormigón ideal para poner un cenador.  Contáctanos para visitarlo.","False","good","False","","True","True","","","1876.0","chalet","independantHouse","Eurovillas","Casa independiente","True","False","False","False","","","False","False","","","","","","","","","",""
